mono_x	mono_y	tet_x	tet_y	cubic_x	cubic_y
0 0 0 0 0 0
5.801952	6.147407	5.845336	2.8939	5.826557	2.790538
5.851952	6.150239	5.895336	2.924162	5.876557	2.82571
5.901952	6.331363	5.945336	2.96423	5.926557	2.896508
5.951952	6.633707	5.995336	3.013414	5.976557	3.010267
6.001952	6.918081	6.045336	3.05018	6.026557	3.171428
6.051952	7.070515	6.095336	3.056804	6.076557	3.389801
6.101952	7.08289	6.145336	3.053838	6.126557	3.659751
6.151952	7.033471	6.195336	3.097006	6.176557	3.929353
6.201952	6.981297	6.245336	3.224747	6.226557	4.12586
6.251952	6.868553	6.295336	3.419793	6.276557	4.22106
6.301952	6.55439	6.345336	3.626579	6.326557	4.260595
6.351952	5.963352	6.395336	3.776965	6.376557	4.321705
6.401952	5.173807	6.445336	3.79926	6.426557	4.436505
6.451952	4.345926	6.495336	3.647267	6.476557	4.558497
6.501952	3.592568	6.545336	3.342631	6.526557	4.623473
6.551952	2.94025	6.595336	2.982141	6.576557	4.636148
6.601952	2.381223	6.645336	2.697192	6.626557	4.65268
6.651952	1.920653	6.695336	2.587372	6.676557	4.691663
6.701952	1.570412	6.745336	2.664363	6.726557	4.721683
6.751952	1.313169	6.795336	2.850278	6.776557	4.727895
6.801952	1.088286	6.845336	3.044023	6.826557	4.741561
6.851952	0.833129	6.895336	3.196474	6.876557	4.807529
6.901952	0.5462	6.945336	3.317674	6.926557	4.946496
6.951952	0.289552	6.995336	3.422043	6.976557	5.151018
7.001952	0.119617	7.045336	3.482392	7.026557	5.445509
7.051952	0.037644	7.095336	3.438905	7.076557	5.938849
7.101952	0.008895	7.145336	3.246629	7.126557	6.719358
7.151952	0.001562	7.195336	2.89946	7.176557	7.671524
7.201952	0.000202	7.245336	2.41046	7.226557	8.462196
7.251952	0.000019	7.295336	1.811072	7.276557	8.744656
7.301952	0.000001	7.345336	1.183101	7.326557	8.399293
7.351952	0	7.395336	0.646408	7.376557	7.618525
7.401952	0	7.445336	0.285501	7.426557	6.777298
7.451952	0	7.495336	0.099128	7.476557	6.185768
7.501952	0	7.545336	0.026479	7.526557	5.924631
7.551952	0	7.595336	0.005358	7.576557	5.87633
7.601952	0	7.645336	0.000813	7.626557	5.867221
7.651952	0	7.695336	0.000092	7.676557	5.800902
7.701952	0	7.745336	0.000008	7.726557	5.700156
7.751952	0	7.795336	0	7.776557	5.602223
7.801952	0	7.845336	0	7.826557	5.414866
7.851952	0	7.895336	0	7.876557	4.952801
7.901952	0	7.945336	0	7.926557	4.153341
7.951952	0	7.995336	0	7.976557	3.200144
