pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Stoich
-31 3.0550862805641 -1.61846818368637 -8.23121483509245 -1.96466458666728 -2.62382554018947 -3.28899670861633 -12.9263148100051 -22.2596098663983 -31.7299493835903 -41.2237367499397 -54.0674610902252 -13.3120475899519 -19.8953627630626 -29.1158222108094 -12.3808039463274 -11.3520500631846 -10.3739588341447 -11.9081261637303 -13.4462205997231 -1.08387824321556 
-30.8 3.04486619189251 -1.65280617374798 -8.19687684503084 -1.99572920709938 -2.68922815068318 -3.38873730917166 -12.8636667702515 -22.1626238365831 -31.5986253637136 -41.0580747400013 -53.8674610902252 -13.2807235700698 -19.8297007531188 -29.015822210804 -12.4434519860756 -11.4490360929943 -10.5052828540161 -12.0737881736633 -13.6462205997177 -1.12310952029145 
-30.6 3.03466666089588 -1.68707509305483 -8.162607925724 -2.02695742871708 -2.75472529160773 -3.48850336940305 -12.8007424474789 -22.0654305945037 -31.4671632023273 -40.8923436593082 -53.6674610902252 -13.2492614086795 -19.7639696724217 -28.9158222108 -12.5063763088442 -11.5462293350698 -10.6367450153984 -12.2395192543524 -13.8462205997137 -1.16183495162119 
-30.4 3.02448640754491 -1.72127924231647 -8.12840377646235 -2.05833769747675 -2.82030970962904 -3.58829193668601 -12.7375590445255 -21.9680430422887 -31.3355715008506 -40.7265478085698 -53.4674610902253 -13.2176697071996 -19.6981738216802 -28.8158222107969 -12.5695597117946 -11.6436168872819 -10.7683367168721 -12.4053151050878 -14.0462205997107 -1.20009847623808 
-30.2 3.0143242081831 -1.75542273283826 -8.09426028594057 -2.08985924481505 -2.88597474748912 -3.68810046506788 -12.674133006612 -21.8704735138533 -31.2038584818935 -40.5606912990909 -53.2674610902245 -13.185956688241 -19.6323173121998 -28.7158222107947 -12.632985749706 -11.741186415715 -10.9000497358271 -12.5711716145645 -14.2462205997092 -1.23794051241378 
-30 3.00417889768516 -1.78950947926918 -8.06017353950964 -2.12151203791581 -2.95171428702081 -3.78792675103049 -12.6104799923365 -21.7727337531469 -31.0720319747561 -40.3947780455226 -53.0674610902253 -13.1541301811012 -19.5664040586291 -28.6158222107931 -12.6966387639799 -11.8389261764198 -11.0318762429628 -12.7370848681312 -14.4462205997068 -1.27539813419909 
-29.8 2.99404937037252 -1.82354319652619 -8.02613982225263 -2.15328673273294 -3.01752269909495 -3.88776888036164 -12.5466148613638 -21.6748349049172 -30.9400994092694 -40.2288117627789 -52.8674610902246 -13.122197615614 -19.5004377758849 -28.5158222107919 -12.7605038949514 -11.9368250246483 -11.1638088084483 -12.9030511508737 -14.6462205997063 -1.31250526807287 
-29.6 2.98393457997042 -1.85752739993806 -7.99215561884076 -2.18517462965623 -3.08339479943011 -3.98762518410867 -12.4825516750121 -21.5767875151536 -30.808067816094 -40.0627959661916 -52.6674610902254 -13.0901660224369 -19.4344219792958 -28.415822210791 -12.8245670813022 -12.034872414411 -11.2958404016229 -13.0690669474601 -14.8462205997046 -1.34929290029954 
-29.4 2.97383353883407 -1.89146540784559 -7.95821761093323 -2.21716763169864 -3.14932580938005 -4.08749420196614 -12.4183037066415 -21.4786015388755 -30.6759438319083 -39.8967339740984 -52.4674610902247 -13.0580420382513 -19.3683599872027 -28.3158222107903 -12.8888150496721 -12.1330583906885 -11.4279643858079 -13.2351289395527 -15.0462205997047 -1.38578928773341 
-29.2 2.96374531662764 -1.92536034603991 -7.92432267273891 -2.24925820510365 -3.21531132097938 -4.18737465175979 -12.3538834594196 -21.3802863534592 -30.5437337082977 -39.7306289122935 -52.2674610902255 -13.0258319146394 -19.3022549253965 -28.2158222107898 -12.9532352968936 -12.2313735761043 -11.560174509418 -13.4012340013571 -15.2462205997034 -1.42202016662846 
-29 2.95366903860065 -1.95921515355353 -7.89046786522529 -2.28143934225566 -3.281347265645 -4.28726540393903 -12.2893026894733 -21.2818507759994 -30.4114433233243 -39.5644837198064 -52.0674610902248 -12.9935415296663 -19.2361097329098 -28.1158222107894 -13.0178160668395 -12.3298091535638 -11.6924648943911 -13.5673791938438 -15.4462205997038 -1.45800895548073 
-28.8 2.94360388357939 -1.99303258940902 -7.8566504293698 -2.31370452679835 -3.34742988604319 -4.38716546019271 -12.2245724328961 -21.1833030835667 -30.2790781950361 -39.3983011556627 -51.8674610902256 -12.961176401377 -19.169927168765 -28.0158222107892 -13.0825463234165 -12.4283568459962 -11.8248300226791 -13.7335617579872 -15.6462205997027 -1.49377694914928 
-28.6 2.93354908176343 -2.02681524002218 -7.82286777875664 -2.34604770084569 -3.41355571070368 -4.48707393546636 -12.159703035348 -21.0846510354054 -30.1466434962617 -39.2320838062752 -51.6674610902249 -12.9287417026031 -19.103709819378 -27.915822210789 -13.1474157209644 -12.5270088941573 -11.9572647214533 -13.8997791073746 -15.8462205997032 -1.52934350243313 
-28.4 2.92350391240211 -2.06056552700894 -7.78911749176988 -2.37846323419803 -3.47972153104279 -4.58699004279223 -12.0947041832959 -20.9859018963665 -30.014144070236 -39.0658340932628 -51.4674610902258 -12.8962422765765 -19.0374601063646 -27.8158222107888 -13.2124145730164 -12.6257580331961 -12.0897641474788 -14.0660288203869 -16.0462205997023 -1.56472620204767 
-28.2 2.9134677014066 -2.09428571520829 -7.75539730357053 -2.41094589545751 -3.54592438050163 -4.68691308045042 -12.0295849360926 -20.8870624609639 -29.8815844466341 -38.8995542814615 -51.2674610902251 -12.8636826529751 -18.9711802945638 -27.7158222107887 -13.2775338202196 -12.7245974685986 -12.2223237710807 -14.2323086321882 -16.2462205997029 -1.59994102649067 
-28 2.90343981894296 -2.12797792076939 -7.72170509800944 -2.44349082495213 -3.61216151555733 -4.78684242106722 -11.9643537583379 -20.7881390776481 -29.7489688577571 -38.7332464870234 -51.0674610902259 -12.8310670640972 -18.9048725001248 -27.6158222107887 -13.3427649979743 -12.8235208519145 -12.3549393599577 -14.3986164266262 -16.4462205997021 -1.63500249372276 
-27.8 2.89341967703922 -2.16164411919123 -7.68803889958759 -2.47609350936836 -3.67843039839541 -4.88677750232714 -11.8990185520246 -20.6891376729129 -29.6163012546001 -38.5669126854446 -50.8674610902252 -12.7983994609409 -18.8385386985466 -27.5158222107886 -13.4081002042876 -12.9225222566496 -12.4876069631147 -14.5649502282051 -16.6462205997027 -1.66992379688227 
-27.6 2.88340672723541 -2.19528615321844 -7.65439686556038 -2.50874975801987 -3.74472868107413 -4.98671781903307 -11.8335866881343 -20.5900637749954 -29.4835853226554 -38.4005547194727 -50.6674610902261 -12.7656835289952 -18.7721807325738 -27.4158222107886 -13.473532068178 -13.0215961545672 -12.6203228950594 -14.731308194177 -16.8462205997019 -1.70471692849218 
-27.4 2.87340045829262 -2.22890574053831 -7.62077727824051 -2.54145568064272 -3.81105419101686 -5.08666291629567 -11.7680650374131 -20.4909225369544 -29.3508244972945 -38.2341743067919 -50.4674610902255 -12.732922703635 -18.7058003198937 -27.3158222107885 -13.5390537188992 -13.1207373926083 -12.7530837204204 -14.8976886068579 -17.0462205997026 -1.73939279372224 
-27.2 2.86340039397919 -2.26250448121898 -7.58717853755984 -2.57420766665731 -3.87740491771211 -5.18661238367159 -11.7024600001367 -20.3917187589973 -29.2180219786568 -38.0677730474735 -50.2674610902264 -12.7001201849963 -18.6393990605743 -27.2158222107885 -13.6046587561757 -13.2199411705655 -12.8858862390582 -15.0640898661764 -17.2462205997018 -1.77396131340059 
-27 2.85340609094169 -2.29608386486255 -7.55359915391628 -2.60700236579968 -3.94377900049804 -5.28656585010109 -11.6367775347104 -20.2924569099274 -29.0851807459433 -37.9013524311164 -50.0674610902258 -12.6672789522834 -18.5729784442179 -27.1158222107885 -13.6703412216022 -13.3192030196355 -13.0187274717718 -15.2305104825336 -17.4462205997025 -1.80843151747636 
-26.8 2.84341713666879 -2.32964527744621 -7.52003774133262 -2.63983667005261 -4.01017471733464 -5.38652297952134 -11.571023185046 -20.1931411476793 -28.9523035711116 -37.7349138437011 -49.8674610902267 -12.6344017774507 -18.5065398568015 -27.0158222107885 -13.7360955712668 -13.4185187818837 -13.1516046466037 -15.3969490699491 -17.6462205997018 -1.84281162967292 
-26.6 2.83343314755371 -2.36319000783217 -7.48649301094665 -2.67270769681219 -4.07659047448018 -5.48648346705285 -11.5052021065893 -20.0937753388367 -28.8193930318829 -37.5684585740865 -49.6674610902262 -12.6014912382225 -18.4400845871873 -26.9158222107883 -13.8019166497236 -13.5178845907266 -13.2845151858325 -15.5634043395639 -17.8462205997025 -1.87710914406576 
-26.4 2.82345376705462 -2.39671925394835 -7.45296376483048 -2.70561277319906 -4.14302479698322 -5.58644703567207 -11.4393190910542 -19.9943630771854 -28.6864515241155 -37.4019878202029 -49.4674610902264 -12.5685497304548 -18.3736138333035 -26.8158222107884 -13.8677996652589 -13.617296852378 -13.4174566936002 -15.7298750934477 -18.0462205997025 -1.91133089426693 
-26.2 2.81347866395777 -2.43023412862408 -7.41944889015474 -2.73854942147711 -4.20947631993701 -5.68641343330159 -11.3733785897574 -19.8949077012129 -28.5534812734673 -37.2355026948789 -49.2674610902267 -12.5355794798063 -18.3071287079793 -26.7158222107884 -13.9337401665559 -13.7167522283508 -13.5504269442487 -15.8963602187719 -18.2462205997025 -1.94548311591387 
-26 2.80350753073958 -2.46373566509323 -7.38594735368559 -2.77151534549149 -4.27594378042054 -5.78638243025427 -11.3073847356344 -19.7954123106207 -28.4204843464059 -37.0690042313484 -49.067461090227 -12.5025825527447 -18.2406302444484 -26.6158222107884 -13.9997340206793 -13.8162476189433 -13.6834238713103 -16.0628586823028 -18.4462205997024 -1.97957150306643 
-25.8 2.79354008202881 -2.49722482216107 -7.35245819661776 -2.80450841808527 -4.34242601008216 -5.88635381698372 -11.2413413639061 -19.6958797818246 -28.2874626605419 -36.9024933884166 -48.8674610902274 -12.4695608668803 -18.1741194015163 -26.5158222107884 -14.065777392408 -13.9157801477398 -13.8164455571747 -16.2293695252349 -18.6462205997024 -2.01360125911664 
-25.6 2.78357605316705 -2.5307024890408 -7.31898052973802 -2.83752666943989 -4.40892192831651 -5.98632740209781 -11.1752520314254 -19.5963127824642 -28.1544179943018 -36.7359710552967 -48.6674610902278 -12.4365162006398 -18.107597068396 -26.4158222107884 -14.131866724889 -14.0153471471006 -13.9494902234152 -16.3958918583552 -18.8462205997024 -2.04757714275329 
-25.4 2.77361519886313 -2.56416948987459 -7.28551352890423 -2.87056827627403 -4.47543053598444 -6.08630301059953 -11.1091200347611 -19.4967137849661 -28.0213519959699 -36.569438056131 -48.4674610902283 -12.4034502023074 -18.0410640692298 -26.3158222107884 -14.1979987215539 -14.1149461445992 -14.0825562217476 -16.5624248575214 -19.0462205997024 -2.08150350946597 
-25.2 2.76365729194367 -2.59762658793141 -7.25205643084742 -2.90363155188592 -4.54195090965314 -6.18628048232505 -11.0429484269889 -19.3970850791371 -27.8882661920841 -36.4028951541884 -48.2674610902289 -12.3703643984211 -17.9745211672867 -26.2158222107885 -14.2641703293266 -14.2145748504287 -14.215642025634 -16.7289677594645 -19.2462205997024 -2.11538434907531 
-25 2.7537021221915 -2.63107448951001 -7.21860852926881 -2.93671493695679 -4.60848219630262 -6.28625967055312 -10.976740033304 -19.2974287838736 -27.755161995242 -36.2363430557677 -48.0674610902296 -12.3372602015783 -17.9079690688653 -26.1158222107885 -14.3303787230122 -14.3142311456929 -14.3487462224767 -16.8955198578859 -19.4462205997024 -2.14922331966711 
-24.8 2.7437494952751 -2.66451384753559 -7.18516917124324 -2.9698169911166 -4.675023608488 -6.38624044076409 -10.9104974654071 -19.1977468579511 -27.6220407112939 -36.0697824137941 -47.8674610902304 -12.3041389176295 -17.8414084268909 -26.0158222107885 -14.3966212909099 -14.4139130716162 -14.4818675064256 -17.0620804998603 -19.6462205997024 -2.18302377834723 
-24.6 2.7337992317639 -2.69794526486838 -7.15173775391044 -3.00293638521654 -4.74157441992074 -6.48622266952962 -10.8442231347392 -19.0980411099504 -27.4889035459604 -35.9032138311277 -47.6674610902313 -12.2710017522951 -17.7748398442237 -25.9158222107885 -14.4628956215787 -14.5136188196178 -14.61500467176 -17.2286490825275 -19.8462205997024 -2.21678880914042 
-24.4 2.72385116622854 -2.73136929732663 -7.11831372145219 -3.03607189428778 -4.80813396145023 -6.58620624351736 -10.7779192645732 -18.9983132073262 -27.355751610878 -35.736637863587 -47.4674610902323 -12.2378498172116 -17.708263876682 -25.8158222107886 -14.5291994917457 -14.6133467222431 -14.7481566068435 -17.3952250500693 -20.0462205997024 -2.25052124835522 
-24.2 2.71390514642553 -2.76478645642603 -7.0848965623528 -3.06922239116808 -4.87470161742993 -6.68619105859645 -10.711587900972 -18.8985646846256 -27.222585929078 -35.5700550226877 -47.2674610902335 -12.2046841354104 -17.6416810357814 -25.7158222107886 -14.5955308553481 -14.7130952449449 -14.8813222886447 -17.5618078909699 -20.2462205997024 -2.28422370770381 
-24 2.70396103256098 -2.79819721185339 -7.05148580692543 -3.10238684074925 -4.94127682243846 -6.78617701903236 -10.6452309226829 -18.7987969509091 -27.0894074399341 -35.4034657781164 -47.0674610902349 -12.1715056462652 -17.5750917912088 -25.6158222107886 -14.6618878336386 -14.8128629786627 -15.0145007777899 -17.7283971355425 -20.4462205997024 -2.3178985954116 
-23.8 2.69401869664216 -2.83160199364544 -7.01808102513338 -3.13556429489321 -5.00785905837447 -6.88616403676041 -10.5788500498527 -18.6990112962869 -26.9562170035199 -35.2368705599101 -46.8674610902366 -12.1383152098493 -17.5084965730009 -25.5158222107887 -14.7282687064704 -14.9126486332866 -15.1476912142059 -17.8949923537505 -20.6462205997024 -2.35154813561364 
-23.6 2.68407802190677 -2.86500119410625 -6.98468182467258 -3.16875388794065 -5.07444785188271 -6.98615203072946 -10.5124468516979 -18.5992088976712 -26.8230154044434 -35.0702697603728 -46.6674610902385 -12.105113610771 -17.4418957734617 -25.4158222107887 -14.7946719046272 -15.0124510319042 -15.2808928132843 -18.0615931532897 -20.8462205997024 -2.38517438618974 
-23.4 2.67413890233638 -2.8983951694421 -6.95128784933672 -3.20195483284711 -5.14104277212503 -7.08614092630763 -10.4460227530435 -18.499390823681 -26.6898033551173 -34.9036637357109 -46.4674610902407 -12.0719015614427 -17.3752897487976 -25.3158222107887 -14.8610960032838 -15.1122691058966 -15.4141048626126 -18.2281991779538 -21.0462205997024 -2.41877925527796 
-23.2 2.66420124225806 -2.93178424109994 -6.91789877767888 -3.2351664179675 -5.20764342890326 -7.1861306547437 -10.3795790396775 -18.3995580386571 -26.5565814984356 -34.7370528073714 -46.2674610902433 -12.0386797047585 -17.3086788204555 -25.2158222107888 -14.9275397166524 -15.2121018909231 -15.5473267192969 -18.394810106296 -21.2462205997024 -2.45236451667135 
-23 2.6542649560306 -2.96516869682158 -6.88451432195725 -3.26838800445843 -5.27424947111583 -7.2861211526779 -10.313116862567 -18.299711405825 -26.4233504098819 -34.570437263096 -46.0674610902463 -12.0054486162018 -17.2420632761772 -25.1158222107888 -14.9940018937659 -15.3119485237582 -15.6805578078536 -18.5614256505744 -21.4462205997024 -2.4859318242337 
-22.8 2.64432996782671 -2.99854879137555 -6.85113422740327 -3.30161902437 -5.34086058558137 -7.38611236169742 -10.2466372407857 -18.1998516894897 -26.2901105989926 -34.4038173576527 -45.8674610902491 -11.9722088053096 -17.175443370731 -25.0158222107887 -15.0604815155508 -15.4118082400971 -15.8137976187464 -18.7280455560212 -21.6462205997032 -2.51948272555728 
-22.6 2.63439621150883 -3.03192474697426 -6.81775827180456 -3.3348589794059 -5.40747649621598 -7.48610422793074 -10.1801410631854 -18.0999795562907 -26.1568625101949 -34.2371933132563 -45.6674610902539 -11.938960716507 -17.1088193263298 -24.9158222107887 -15.1269776931552 -15.5116803733002 -15.9470457075483 -18.8946696004217 -21.8462205997024 -2.55301867497571 
-22.4 2.62446363061645 -3.06529675331673 -6.78438626546209 -3.36810744046991 -5.47409696362246 -7.58609670167969 -10.1136290885593 -18.0000955753221 -26.0236065228838 -34.0705653196028 -45.4674610902579 -11.905704729192 -17.0421913326723 -24.8158222107888 -15.1934896677861 -15.6115643542736 -16.0803016948641 -19.06129759408 -22.0462205997032 -2.58654104617475 
-22.2 2.61453217845337 -3.09866496729525 -6.75101805148357 -3.40136404791507 -5.54072178504614 -7.68608973708189 -10.0471019444797 -17.900200217264 -25.8903429508472 -33.9039335335876 -45.2674610902643 -11.8724411571491 -16.9755595466509 -24.7158222107888 -15.2600168118713 -15.7114597123373 -16.2135652669063 -19.2279293801008 -22.2462205997025 -2.62005114442879 
-22 2.60460181831695 -3.13202951222535 -6.71765350655348 -3.43462851277627 -5.60735079483743 -7.78608329180328 -9.98056012420575 -17.80029385206 -25.7570720407131 -33.7372980785234 -45.06746109027 -11.8391702470094 -16.908924091581 -24.6158222107889 -15.3265586321517 -15.8113660775478 -16.3468361770469 -19.3945648351715 -22.4462205997032 -2.65355021884532 
-21.8 2.5946725238482 -3.16539047666928 -6.68429254210954 -3.46790061884185 -5.67398386534695 -7.88607732675673 -9.91400398198979 -17.7003767454001 -25.6237939696092 -33.5706590429757 -44.8674610902783 -11.8058921758973 -16.842285056025 -24.5158222107889 -15.3931147743752 -15.9112831842152 -16.4801142481583 -19.5612038707268 -22.6462205997025 -2.68703947456702 
-21.6 2.58474427953843 -3.19874791273401 -6.65093510604481 -3.50118022580021 -5.74062090837004 -7.98607180584455 -9.84743372625675 -17.6004490536023 -25.4905088417467 -33.4040164790484 -44.6674610902863 -11.7726070480268 -16.7756424920898 -24.415822210789 -15.4596850301171 -16.0112108760218 -16.6133993760297 -19.7278464346629 -22.8462205997033 -2.72052008525482 
-21.4 2.57481708140767 -3.23210183379158 -6.61758118498724 -3.53446727356313 -5.80726187719054 -8.08606669572262 -9.78084941049804 -17.500510816786 -25.3572166838729 -33.237370400117 -44.4674610902973 -11.739314890142 -16.7089964131475 -24.3158222107891 -15.5262693458861 -16.1111491128484 -16.7466915339138 -19.8944925136046 -23.0462205997026 -2.75399320603095 
-21.2 2.56489093787786 -3.26545221154558 -6.58423080723324 -3.56776178791657 -5.87390676929797 -8.18606196558405 -9.71425092152521 -17.4005619500592 -25.2239174393921 -33.0707207778822 -44.2674610903085 -11.7060156456501 -16.6423467909015 -24.2158222107891 -15.5928678348709 -16.2110979795872 -16.8799907784066 -20.0611421358514 -23.2462205997034 -2.7874599871121 
-21 2.55496587084417 -3.29879897243144 -6.55088404634738 -3.60106388752162 -5.94055562978889 -8.28605758696083 -9.64763796508335 -17.3006022327315 -25.0906109611785 -32.9040675387827 -44.0674610903232 -11.6727091674219 -16.5756935517875 -24.1158222107892 -15.6594807913267 -16.3110576969289 -17.0132972566342 -20.2277953749648 -23.4462205997027 -2.8209215882227 
-20.8 2.54504191702472 -3.33214199308171 -6.51754102569711 -3.63437379280191 -6.00720855571944 -8.38605353354164 -9.58101004769987 -17.2006312946977 -24.9572970024945 -32.7374105594485 -43.8674610903386 -11.6393952087225 -16.5090365724378 -24.0158222107893 -15.7261087087265 -16.4110286349789 -17.1466112153345 -20.3944523543153 -23.6462205997035 -2.85437919439908 
-20.6 2.53511912955582 -3.36548109496618 -6.48420192381264 -3.66769183649582 -6.07386570129782 -8.48604978100451 -9.51436645525746 -17.1006486003708 -24.8239752062831 -32.5707496613526 -43.6674610903583 -11.6060734124916 -16.4423756743224 -23.9158222107894 -15.7927523011879 -16.5110113293248 -17.2799330115648 -20.5611132524302 -23.8462205997028 -2.88783403302678 
-20.4 2.52519757994196 -3.39881603784039 -6.45086698093844 -3.70101847660584 -6.14052728428205 -8.58604630686294 -9.44770622677558 -17.0006534290148 -24.6906450920528 -32.4040846042481 -43.4674610903796 -11.5727432982401 -16.3757106171967 -23.8158222107895 -15.8594125296919 -16.611006500703 -17.4132631258172 -20.7277783095568 -24.0462205997036 -2.92128739291492 
