pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Xei{-1} Xei{0} Xei{1} XesubO{1} XesubO{2} XesubO{3} XesubZr{-3} XesubZr{-4} XesubZr{-5} Stoich
-29.4 2.97943053586641 -1.87266032359953 -7.97702269517929 -2.25487920751442 -3.16823230094977 -4.0875956092898 -12.3430833696573 -21.4221862861373 -30.6383336634162 -39.8779288898524 -52.4674610902248 -13.020431869759 -19.3495549029565 -28.3158222107901 -12.9640353866562 -12.1894736434265 -11.4655745542998 -13.2539340237985 -15.0462205997045 -18.3863831764701 -14.1045484942479 -18.1631425230226 -3.40585079713965 -3.21665382722144 -12.0600682942401 -17.2115163923991 -13.0832504199778 -19.0079397344333 -1.35726863210258 
-29.2 2.9698669136269 -1.90479268330462 -7.9448903354742 -2.29049405808207 -3.23597951122251 -4.18747517926763 -12.2716128084785 -21.3185833652534 -30.5025983828273 -39.7100612495583 -52.2674610902256 -12.9846965891687 -19.2816872626611 -28.2158222107897 -13.0355059478346 -12.29307656431 -11.6013098348884 -13.4218016640922 -15.2462205997033 -18.3705616968479 -14.0565946549206 -18.0830563239902 -3.42564416808556 -3.20431483846227 -12.0155969457754 -17.0599596321883 -12.9638260194721 -18.9206476936328 -1.39135525848944 
-29 2.96036283788271 -1.93672497557094 -7.91295804320788 -2.32651939782602 -3.30393714323278 -4.28736510354421 -12.1993419775431 -21.2143802420517 -30.3664629673592 -39.541993541824 -52.0674610902249 -12.948561173701 -19.2136195549271 -28.1158222107893 -13.1077767787697 -12.3972796875114 -11.7374452503562 -13.5898693718263 -15.4462205997037 -18.3547585799958 -14.0088592458023 -18.0033886226055 -3.44586639097779 -3.19260476908818 -11.9719545841354 -16.9080210998686 -12.8438197794187 -18.8325737458456 -1.42504896400057 
-28.8 2.95092167123221 -1.9684459025641 -7.88123711621472 -2.36297682937848 -3.3721155017784 -4.387264389083 -12.1262256855166 -21.109543023032 -30.2299048213464 -39.373714468818 -51.8674610902258 -12.9120030276871 -19.14534048192 -28.0158222107891 -13.1808930707961 -12.5021169065309 -11.8740033963688 -13.7581484448321 -15.6462205997026 -18.3389238674805 -13.9613036062937 -17.9241120561038 -3.46648911001514 -3.18150656113237 -11.929135449186 -16.7556282413406 -12.7231478478839 -18.743622741304 -1.45835769989752 
-28.6 2.94154720928054 -1.99994271161079 -7.84974030716803 -2.39989097821252 -3.44052645965913 -4.48717215601042 -12.0522129217027 -21.0040334501715 -30.0928984394391 -39.205211277864 -51.6674610902251 -12.8749966457803 -19.0768372909665 -27.9158222107889 -13.2549058346098 -12.6076264793914 -12.011009778276 -13.9266516357859 -15.8462205997032 -18.3230022610482 -13.9138851908148 -17.8451968315782 -3.48748165241713 -3.17100229448767 -11.887134373495 -16.6027002530013 -12.6017166685913 -18.6536883710581 -1.49128608598226 
-28.4 2.93224371853285 -2.03120106788327 -7.81848195089556 -2.43728973212222 -3.50918356984131 -4.58708762246507 -11.9772463467935 -20.8978085189898 -29.9554151519849 -39.0364696341374 -51.467461090226 -12.8375133583251 -19.0080956472388 -27.8158222107888 -13.329872409519 -12.713851410573 -12.1484930657301 -14.0953932795125 -16.0462205997022 -18.3069328960585 -13.8665574695526 -17.7666107540436 -3.50881104133729 -3.16107332713535 -11.8459470498698 -16.4491476005576 -12.4794223724201 -18.5626524311593 -1.5238354487567 
-28.2 2.92301597818732 -2.06220491398067 -7.78747810479815 -2.47520450924793 -3.57810219306442 -4.68701009178559 -11.9012617311825 -20.7908200572814 -29.8174228441791 -38.8674734802342 -51.2674610902254 -12.7995210505198 -18.9390994933362 -27.7158222107887 -13.40585702513 -12.8208398722815 -12.2864853735359 -14.2643894334158 -16.2462205997029 -18.2906490900797 -13.8192698174764 -17.6883192558699 -3.53044201248422 -3.15170045218488 -11.8055703288223 -16.294871486773 -12.3561501047329 -18.4703840095696 -1.55600383456917 
-28 2.91386932705063 -2.09293631230032 -7.7567467064785 -2.51367056246797 -3.6472996446041 -4.78693894164492 -11.824187324462 -20.6830142522413 -29.6788856408194 -38.6982048785548 -51.0674610902264 -12.7609838471591 -18.8698308916557 -27.6158222107886 -13.4829314318506 -12.9286456773217 -12.4250225768958 -14.4336580350953 -16.446220599702 -18.2740780239154 -13.7719673529925 -17.6102853930664 -3.55233699954011 -3.14286404092112 -11.7660025192386 -16.1397632172491 -12.2317732335286 -18.376738536685 -1.58778599569606 
-27.8 2.90480971487705 -2.1233752725457 -7.72630774623312 -2.55272731514151 -3.71679535752303 -4.88687361480922 -11.745943165443 -20.5743311329769 -29.5397635613096 -38.5286438387996 -50.8674610902258 -12.7218617676498 -18.8002698519011 -27.5158222107886 -13.5611755908698 -13.0373287965862 -12.5641446564057 -14.6032190748506 -16.6462205997027 -18.2571403813669 -13.7245907501985 -17.532469830027 -3.57445610966513 -3.13454419080076 -11.7272437088732 -15.9837034951909 -12.1061524717157 -18.2815567351174 -1.61917334727015 
-27.6 2.89584375976119 -2.15349955889529 -7.69618345988354 -2.59241873887771 -3.78661106760881 -4.9868136112446 -11.6664403108424 -20.4647039920267 -29.4000121340099 -38.3587681251503 -50.6674610902269 -12.6821103403489 -18.7303941382507 -27.4158222107886 -13.6406784454706 -13.1469559375366 -12.7038960837057 -14.7730947885002 -16.8462205997019 -18.2397499187845 -13.6770760012665 -17.4548307947454 -3.59675707081894 -3.12672086560498 -11.6892960973275 -15.8265616053087 -11.9791348681832 -18.1846634179345 -1.65015389931666 
-27.4 2.8869788099546 -2.18328448230811 -7.66639853647071 -2.63279376217552 -3.85677101431945 -5.08675848136806 -11.5855800044933 -20.3540587622648 -29.2595819808351 -38.1885530485627 -50.4674610902265 -12.6416801871746 -18.6601790616635 -27.3158222107885 -13.72153875182 -13.2576011672989 -12.8443262368808 -14.9433098650881 -17.0462205997026 -18.2218129840658 -13.6293541431351 -17.3773240132011 -3.61919515939813 -3.11937403077135 -11.6521643390814 -15.6681945174153 -11.8505527037026 -18.0858661768667 -1.68071215681404 
-27.2 2.878223011503 -2.21270267327239 -7.63698034550643 -2.67390671912732 -3.92730216223552 -5.18670782024841 -11.5032527683517 -20.2423133351589 -29.1184183627649 -38.0179712395282 -50.2674610902277 -12.6005165691031 -18.5895972526277 -27.2158222107885 -13.8038659879621 -13.3693465944052 -12.9854898549514 -15.113891674123 -17.2462205997018 -18.2032279632928 -13.5813509313978 -17.2999026104996 -3.64172309557693 -3.11248377598587 -11.6158558933312 -15.5084458785721 -11.7202222558237 -17.9849539199521 -1.71082899415238 
-27 2.86958538135514 -2.24172383617068 -7.60795918260814 -2.71581783568587 -3.99823444169237 -5.28666126260355 -11.4193374199447 -20.1293768238536 -28.9764606885613 -37.8469924024264 -50.0674610902276 -12.5585588948997 -18.518618415526 -27.1158222107885 -13.8877813363697 -13.4822831057111 -13.1274475291556 -15.2848705112254 -17.4462205997026 -18.1838846688934 -13.5329864741001 -17.2225169903036 -3.6642909177361 -3.10603043524675 -11.5803813896942 -15.3471449099692 -11.587942450119 -17.8816952771457 -1.74048150901285 
-26.8 2.86107588210143 -2.27031449816908 -7.57936852060974 -2.75859372757893 -4.06960099558383 -5.38661847849341 -11.3337000679398 -20.0151488098503 -28.8336420125597 -37.6755830644263 -49.8674610902291 -12.5157402188965 -18.4472090775244 -27.0158222107886 -13.9734186883753 -13.5965111197151 -13.270266205158 -15.4562798492263 -17.6462205997018 -18.1636636959259 -13.4841748391342 -17.1451146933393 -3.68684583666164 -3.09999469217389 -11.5457549846226 -15.184105261 -11.4534934631483 -17.7758369521733 -1.76964284400701 
-26.6 2.85270550171845 -2.2984377412875 -7.55124527749132 -2.80230793241395 -4.14143844353727 -5.48657916956527 -11.2461930404138 -19.8995185392059 -28.6898884987968 -37.503706307545 -49.6674610902294 -12.4719867051332 -18.3753323206427 -26.9158222107884 -14.0609257159024 -13.7121413903606 -13.4140197189219 -15.6281566061086 -17.8462205997025 -18.1424357185187 -13.4348236186086 -17.0676402296953 -3.70933206408969 -3.09435767648314 -11.5119947258138 -15.0191237698299 -11.3166352150966 -17.6671019472401 -1.79828200532476 
-26.4 2.84448633156717 -2.32605294033699 -7.52363007844183 -2.84704143054271 -4.21378714071552 -5.58654306579301 -11.1566538366131 -19.7823641363557 -28.5451188968972 -37.3313215065959 -49.4674610902308 -12.4272171032322 -18.3029475196922 -26.8158222107884 -14.1504649197044 -13.8292957932121 -13.5587893208229 -15.8005414070591 -18.0462205997025 -18.1200607911999 -13.3848334922402 -16.9900349042774 -3.73169063489919 -3.08910104824391 -11.4791228985247 -14.8519792406114 -11.1771058849276 -17.5551878161206 -1.82636366878657 
-26.2 2.83643163950182 -2.35311551728488 -7.49656750149394 -2.89288313348152 -4.28669142060222 -5.6865099226276 -11.0649041444065 -19.6635518672012 -28.3992440507948 -37.1583840835456 -49.2674610902326 -12.381342257128 -18.2300100966401 -26.7158222107884 -14.2422146119128 -13.9481080623684 -13.7046641669271 -15.9734788301112 -18.2462205997025 -18.0963876871884 -13.3340978112809 -16.9122366463702 -3.75385923382693 -3.084207070223 -11.4471663435563 -14.6824312904976 -11.0346205117617 -17.4397650199026 -1.85384799167707 
-26 2.82855593459681 -2.3795767237819 -7.47010629499692 -2.93993031633992 -4.36019980995763 -5.78647951848003 -10.9707489703971 -19.5429354866948 -28.2521664637914 -36.9848452900452 -49.0674610902351 -12.3342646701221 -18.1564713031372 -26.6158222107885 -14.3363697859247 -14.0687244428774 -13.8517417539331 -16.1470176236142 -18.4462205997025 -18.071253306407 -13.2825022240024 -16.8341798525947 -3.77577203590346 -3.07965866580327 -11.4161567326391 -14.5102193227127 -10.8888697504738 -17.3204754651117 -1.88069045785817 
-25.8 2.82087501231581 -2.40538348940049 -7.44429952937833 -2.98828891911485 -4.43436517835116 -5.88645165249216 -10.873976032875 -19.4203557835541 -28.103779995032 -36.8106520556672 -48.8674610902386 -12.2858782013593 -18.0822780687558 -26.5158222107885 -14.4331427234504 -14.1913041460216 -14.0001282226959 -16.3212108579956 -18.6462205997025 -18.0444822729023 -13.2299244248791 -16.7557952878528 -3.79735960517406 -3.07543946945452 -11.3861307706722 -14.3350618204487 -10.7395190138283 -17.1969314940848 -1.90684177610934 
-25.6 2.81340597034432 -2.43047836844003 -7.4192046503388 -3.03807365108347 -4.50924478935932 -5.98642614253985 -10.774355549038 -19.2956404206776 -27.953969753116 -36.6357469347116 -48.6674610902435 -12.2360679594384 -18.0073729477954 -26.4158222107885 -14.5327632072922 -14.316019508903 -14.1499384646168 -16.496115978956 -18.8462205997025 -18.0158868053787 -13.176234078316 -16.6770100622502 -3.81854886961868 -3.07153385486037 -11.3571302770381 -14.156656111009 -10.5862081834282 -17.0687155427242 -1.93224786991479 
-25.4 2.80616718227975 -2.45479962832404 -7.39488339045479 -3.08940781218546 -4.58490021034532 -6.08640282340985 -10.671640588581 -19.1686042003365 -27.8026122728909 -36.4600681946025 -48.4674610902504 -12.1847104792065 -17.9316942076794 -26.3158222107886 -14.6354781677562 -14.443055729251 -14.3012959448488 -16.6717947190721 -19.0462205997025 -17.985266997253 -13.1212930103064 -16.5977477343565 -3.83926322259538 -3.06792694795229 -11.3292021102464 -13.9746788226582 -10.4285521549614 -16.9353807741415 -1.9568500182133 
-25.2 2.79917820356786 -2.47828156563999 -7.37140145313884 -3.14242265926457 -4.66139699474037 -6.18638154512086 -10.5655683378547 -19.0390500122943 -27.6495761475327 -36.2835501319284 -48.2674610902603 -12.1316743538384 -17.8551761449954 -26.2158222107886 -14.7415504184924 -14.5726099173032 -14.454332070217 -16.8483127817561 -19.2462205997026 -17.9524117648718 -13.0649558406092 -16.5179286273434 -3.8594228372928 -3.06460462533453 -11.3023978503123 -13.7887874649187 -10.2661427345379 -16.7964532910339 -1.98058519366865 
-25 2.79245959757827 -2.50085509049989 -7.34882792827894 -3.19725623573879 -4.73880409607449 -6.28636217131488 -10.4558624373088 -18.9067705868885 -27.494723197267 -36.1061236568028 -48.0674610902748 -12.0768214035583 -17.7777496698554 -26.1158222107887 -14.8512563190529 -14.7048893427235 -14.6091850204972 -17.0257392568963 -19.4462205997026 -17.9171005754621 -13.0070711263396 -16.4374703882139 -3.87894522435771 -3.06155348753877 -11.276773187657 -13.5986233252433 -10.0985521197224 -16.6514362010783 -2.00338670584401 
