pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Csi{0} Csi{-1} Csi{1} CssubZr{-5} CssubZr{-4} CssubZr{-3} CssubO{1} CssubO{2} CssubO{3} Stoich
-31 3.05510008116289 -1.61842181571057 -8.23126120306826 -1.96475839270834 -2.62387297825472 -3.28899777870579 -12.9261304247677 -22.2594718491367 -31.7298577343046 -41.2236914686297 -54.067462176891 -13.3119548540003 -19.8953163950868 -29.1158222108094 -12.3809894182306 -11.352189167112 -10.3740515700963 -11.9081725317061 -13.4462205997231 -18.6303996321616 -22.5604907378254 -16.0340988349379 -17.2237194469332 -11.6312210476402 -5.6016892449318 -11.5870623975875 -5.1265906262806 -7.57950018204324 -1.08387520623216 
-30.8 3.04487518173619 -1.65277596919959 -8.19690704957923 -1.99579078000082 -2.68925951903623 -3.38873847297632 -12.863547295605 -22.162534566485 -31.5985662981638 -41.0580458789999 -53.8674624337722 -13.280663160973 -19.8296705485704 -29.015822210804 -12.4435728042692 -11.4491267066395 -10.5053432631129 -12.0738183782116 -13.6462205997177 -18.6351801558157 -22.5996254149686 -16.004525205103 -17.2002709949191 -11.573418442137 -5.50953248593958 -11.6572294620289 -5.16240353723222 -7.58095893950621 -1.12313126159416 
-30.6 3.03466921147628 -1.68706652348098 -8.16261649529785 -2.02697583550524 -2.75473512882203 -3.48850463704351 -12.8007098007079 -22.0654065173065 -31.4671476947039 -40.8923367212587 -53.6674627217496 -13.2492442695318 -19.7639611028478 -28.9158222108 -12.5064105871396 -11.5462550437913 -10.6367621545461 -12.2395278239262 -13.8462205997137 -18.6479676373006 -22.6467034507349 -15.9830221323065 -17.1845115357923 -11.5233684287288 -5.42519191825001 -11.7354925533033 -5.20637607422593 -7.59064092221816 -1.16188981852972 
-30.4 3.02448082985893 -1.72129798251844 -8.12838503626039 -2.05830159555663 -2.82029234791089 -3.58829331516982 -12.7376359473697 -21.9681012049309 -31.3356109232909 -40.7265684908081 -53.4674630322616 -13.2177071876036 -19.6981925618821 -28.8158222107969 -12.5694847509868 -11.643560666676 -10.7682992364682 -12.4052963648858 -14.0462205997107 -18.6696092884437 -22.7025765609154 -15.9704323244121 -17.1773107926376 -11.4819362265367 -5.34952825702041 -11.8226914235384 -5.25934348542315 -7.60937687437792 -1.20019542030528 
-30.2 3.01430888599089 -1.75547421314345 -8.09420880563538 -2.08975777626111 -2.88592475924037 -3.68810195712432 -12.6743411908793 -21.8706302178154 -31.2039637055504 -40.5607450424427 -53.2674633532711 -13.1860596488514 -19.632368792505 -28.7158222107947 -12.6327798284853 -11.7410319747995 -10.8999467752167 -12.5711201342593 -14.2462205997092 -18.7006442668012 -22.7677877698979 -15.9672910721446 -17.1792272451318 -11.4496764484059 -5.28309224826465 -11.9193588132275 -5.32183464448731 -7.63769180281745 -1.23808847399796 
-30 3.00415241739574 -1.78959844913473 -8.0600845696441 -2.12133570171192 -2.95162692068247 -3.78792835455769 -12.6108384525351 -21.7730032434799 -31.0722124952236 -40.3948695961246 -53.0674636709618 -13.1543081208323 -19.5664930284946 -28.6158222107931 -12.6962828845177 -11.8386592668232 -11.0316983032317 -12.7369958982656 -14.4462205997068 -18.7412212174453 -22.8424889565334 -15.9737437867975 -17.1904256934247 -11.4267506607075 -5.22604222457497 -12.0256379253154 -5.39398952058395 -7.67572244292242 -1.27560539802178 
-29.8 2.99401061324079 -1.82367341477058 -8.02600960400825 -2.1530280045635 -3.01739418916989 -3.88777058868097 -12.5471386161408 -21.6752284414498 -30.9403627275576 -40.2289448628228 -52.8674639720241 -13.1224580521028 -19.5005679941292 -28.5158222107919 -12.7599830219738 -11.9364343699152 -11.1635483719595 -12.9029209326293 -14.6462205997063 -18.7910760437923 -22.9264187485162 -15.9895236475086 -17.2106556490144 -11.4129056506614 -5.178122248893 -12.141260020151 -5.47553664978369 -7.7231946064867 -1.312778957241 
-29.6 2.98388275401567 -1.85770152749963 -7.9919814912792 -2.18482817737258 -3.08322247470803 -3.98762698694815 -12.4832513408252 -21.5773130534051 -30.808419226784 -40.06297324932 -52.6674642457923 -13.09051427756 -19.4345961068574 -28.415822210791 -12.8238705710559 -12.0343500317263 -11.2954921464998 -13.0688928198986 -14.8462205997046 -18.849577917983 -23.0189487354359 -16.0139974089702 -17.2392983606195 -11.4075202495374 -5.13870873503994 -12.2655901798807 -5.56583869678435 -7.77946854075793 -1.34963873478899 
-29.4 2.97376814905965 -1.89168510784002 -7.95799791093881 -2.21673011660983 -3.14910799428567 -4.08749608686619 -12.4191859019091 -21.4792640341487 -30.6763866271871 -39.8969570693828 -52.4674644855146 -13.0584814382401 -19.3685796871971 -28.3158222107903 -12.8879362496944 -12.1323992907052 -11.427524985819 -13.2349092395582 -15.0462205997047 -18.9158275598584 -23.1191819576517 -16.0462634705052 -17.2754661439199 -11.4097044524974 -5.10690935765956 -12.3977253413345 -5.6639902778977 -7.84363654153126 -1.38621163872684 
-29.2 2.96366609103552 -1.92562653234046 -7.92405648643837 -2.24872778625956 -3.21504708843583 -4.18737660551679 -12.3549518029538 -21.3810885106929 -30.5442696792309 -39.7308986969261 -52.2674646885576 -13.0263642872405 -19.3025211116971 -28.2158222107898 -12.9521705516914 -12.2305750172026 -11.5596421368169 -13.4009678150565 -15.2462205997034 -18.9887787964867 -23.2260746187805 -16.0852732826331 -17.3181247060939 -11.4184215901709 -5.08168507083266 -12.5366156721135 -5.76893918417628 -7.91464402330902 -1.42252234327996 
-29 2.95357583539044 -1.95952830258861 -7.89015471619021 -2.28081505403637 -3.2810361264608 -4.28726741378991 -12.2905590511064 -21.2827939885974 -30.4120733868872 -39.5648006343343 -52.0674648557175 -12.9941678277365 -19.2364228819449 -28.1158222107894 -13.0165634706991 -12.3288697064585 -11.6918385963209 -13.5670660448087 -15.4462205997038 -19.0673528120978 -23.3385504046397 -16.129945527996 -17.3662077401061 -11.432602853935 -5.06196456434854 -12.6811787257499 -5.87960046756452 -7.99140353644949 -1.4585936121814 
-28.8 2.9434966016961 -1.99339304070847 -7.85628997807036 -2.31298567860977 -3.34707148915406 -4.38716751460302 -12.2260181380042 -21.1843883373753 -30.2798029975453 -39.3986655068725 -51.8674649901359 -12.9618973039759 -19.1702876200644 -28.0158222107892 -13.0811045182187 -12.4272754920979 -11.8241091200802 -13.7332013066878 -15.6462205997027 -19.1505257129976 -23.4555880436594 -16.1792536907761 -17.4187044660238 -11.4512348417329 -5.04673181402661 -12.8303869893433 -5.99494399303806 -8.0728823238028 -1.49444650600683 
-28.6 2.93342758803101 -2.0272234410379 -7.82245957774093 -2.34523338787514 -3.41314959874885 -4.48707602452725 -12.1613398453654 -21.0858796444071 -30.1474639042476 -39.2324960132454 -51.6674650961794 -12.9295581046346 -19.1041180203937 -27.915822210789 -13.1457829169015 -12.5257842911101 -11.9564483194218 -13.8993709063589 -15.8462205997032 -19.2373830491193 -23.5762757801105 -16.2322806265683 -17.4747139098364 -11.473413885216 -5.03508045718033 -12.98332243506 -6.11404903842534 -8.15815696886103 -1.53010050815924 
-28.4 2.92336798939959 -2.06102220824328 -7.78866081053555 -2.37755198725208 -3.47926696533118 -4.58699215831496 -12.096534996587 -20.9872760284233 -30.0150615210584 -39.0662948628509 -51.4674651785795 -12.8971556390452 -19.0379167875989 -27.8158222107888 -13.210587848079 -12.6243879894931 -12.0888507850101 -14.0655721391526 -16.0462205997023 -19.327144246086 -23.6998357442826 -16.2882430563296 -17.5334690252302 -11.4983702334044 -5.0262380381633 -13.1392009986091 -6.23612883476908 -8.24643799799901 -1.5655736104636 
-28.2 2.91331701435138 -2.09479200148144 -7.75489101729739 -2.40993545832752 -3.54542022964478 -4.68691521586671 -12.0316142328079 -20.8885854714061 -29.882601170803 -38.9000647193573 -51.2674652418478 -12.8646952255214 -18.971686580837 -27.7158222107887 -13.275508675127 -12.7230786097792 -12.2213111985344 -14.2318023459151 -16.2462205997029 -19.4191654088901 -23.8256267003249 -16.3464944258956 -17.5943392174935 -11.5254706324296 -5.01956864395035 -13.297375425727 -6.36053346864879 -8.33707283864094 -1.600882387432 
-28 2.90327389723643 -2.12853539322317 -7.72114762555565 -2.44237803020551 -3.6116061932645 -4.78684457122818 -11.9665878479086 -20.789815694765 -29.7500880024203 -38.7338081592328 -51.0674652899815 -12.8321820090048 -18.9054299725786 -27.6158222107887 -13.3405351081592 -12.8218484345531 -12.3538244150501 -14.3980589541724 -16.4462205997021 -19.5129290584247 -23.9531337416011 -16.4065146836884 -17.6568198738706 -11.5542078970649 -5.01456251684392 -13.4573250388813 -6.48673969006137 -8.4295356683114 -1.63604207432268 
-27.8 2.89323790544586 -2.16225484492629 -7.68742817385253 -2.4748742188412 -3.6778218336033 -4.88677966327009 -11.9014656910807 -20.690974086234 -29.6175269421862 -38.5675276472956 -50.8674653263412 -12.799620912411 -18.8391494242817 -27.5158222107886 -13.4056573013474 -12.9206900794445 -12.4863855116445 -14.56433950247 -16.6462205997027 -19.6080268588151 -24.0819509936947 -16.4678930323757 -17.7205149691363 -11.5841835406275 -5.01081870870344 -13.6186384796106 -6.61433367908759 -8.52341020563489 -1.67106665511337 
-27.6 2.8832083429952 -2.19595269499586 -7.65373032378296 -2.50741884318324 -3.74406430801493 -4.98671998775129 -11.8362571186778 -20.5920676637615 -29.4849226696441 -38.4012255246839 -50.66746535366 -12.7670166125501 -18.7728472743512 -27.4158222107886 -13.4708659010683 -13.0195965292349 -12.6189898115046 -14.7306416523996 -16.8462205997019 -19.7041415937668 -24.2117635787159 -16.5303099172578 -17.7851189817547 -11.6150897031763 -5.00802702118264 -13.7809956889739 -6.74299303838132 -8.61837171485866 -1.70596895518526 
-27.4 2.8731845507973 -2.22963115786752 -7.6200518609113 -2.54000702022471 -3.81033094792806 -5.08666509053608 -11.7709709906048 -20.4931030728169 -29.3522796158278 -38.234904007996 -50.4674653741003 -12.7343735382934 -18.7065257372229 -27.3158222107885 -13.5361520495824 -13.1185611406206 -12.751632885762 -14.8969631895287 -17.0462205997026 -19.8010289426485 -24.3423293904693 -16.5935188032678 -17.8503986654351 -11.6466909239851 -5.00594977911973 -13.9441496777688 -6.87246856430456 -8.71416877791062 -1.74076074014401 
-27.2 2.86316590547358 -2.26329232800133 -7.58639069077749 -2.57263415118351 -3.87661924902066 -5.18661456176249 -11.7056156863872 -20.3940865984655 -29.2196019713426 -38.0685651933769 -50.2674653893475 -12.701695878561 -18.6401869073567 -27.2158222107885 -13.6015073690463 -13.2175776302184 -12.8843105454935 -15.063302019394 -17.2462205997018 -19.8985025108477 -24.4734641288023 -16.6573312013333 -17.9161780995505 -11.6788091879667 -5.00440687296757 -14.1079115470607 -7.00256926346259 -8.81060830693446 -1.77545281144489 
-27 2.85315181650549 -2.29693818945246 -7.55274482932636 -2.60529589733452 -3.94292685662279 -5.28656803081575 -11.6401991435371 -20.2950241941642 -29.0868937055902 -37.9022110661734 -50.0674654006929 -12.6689876014632 -18.5738327688078 -27.1158222107885 -13.6669239232425 -13.3166400458657 -13.017018822592 -15.2296561579436 -17.4462205997025 -19.9964202619647 -24.6050277413705 -16.7216030909992 -17.9823251692686 -11.7113103962336 -5.00326221978336 -14.2721369057799 -7.13314876073064 -8.90754194275177 -1.81005510246773 
-26.8 2.8431417234242 -2.33057062531349 -7.51911239346533 -2.63798815676445 -4.00925155191376 -5.38652516196774 -11.5747288954093 -20.1959215101754 -28.9541585857404 -37.7358435104626 -49.867465409121 -12.6362524731853 -18.5074652046688 -27.0158222107885 -13.7323941797976 -13.4157427382819 -13.1497539508692 -15.3960237220818 -17.6462205997018 -20.0946747049351 -24.7369146202018 -16.7862250981084 -18.0487417999722 -11.7440945910762 -5.0024139787649 -14.4367160440412 -7.2640954631309 -9.00485620929062 -1.84457676583323 
-26.6 2.83313509203435 -2.36419143040199 -7.48549158837683 -2.67070703521124 -4.07559123544905 -5.48648565059154 -11.5092121220155 -20.0967839316931 -28.8214002021695 -37.5694643218032 -49.6674654153731 -12.6034940833621 -18.4410860097571 -26.9158222107883 -13.7979109594444 -13.5148803230171 -13.2825123406929 -15.5624029169941 -17.8462205997025 -20.1931839823341 -24.8690447026894 -16.851113570419 -18.1153551090659 -11.7770870950814 -5.00178567768162 -14.6015650049757 -7.39532361897656 -9.10246356004815 -1.87902625941961 
-26.4 2.82313141150007 -2.39780232105118 -7.45188069772764 -2.70344882317115 -4.14194391405815 -5.58644921984983 -11.4436556892458 -19.9976166082742 -28.6886219881015 -37.403075217086 -49.4674654200067 -12.5707158646605 -18.3746969004063 -26.8158222107884 -13.8634673968476 -13.6140476510695 -13.4152905593945 -15.7287920263448 -18.0462205997025 -20.2918863130843 -25.0013579240887 -16.91620501052 -18.1821118976956 -11.8102329930619 -5.00132068501291 -14.7666200143346 -7.52676773768701 -9.20029678810903 -1.91341142051099 
-26.2 2.81313019058871 -2.43140494773026 -7.41827807104857 -2.73620996776731 -4.20830768533339 -5.68641561780414 -11.3780661993932 -19.8984244917426 -28.5558272448907 -37.2366778471962 -49.2674654234378 -12.5379211180187 -18.3082995270854 -26.7158222107884 -13.9290568901313 -13.7132397710323 -13.5480853060363 -15.8951893996657 -18.2462205997025 -20.3907344351618 -25.1338086728454 -16.9814505059185 -18.2489731565996 -11.8434916252869 -5.00097669055882 -14.9318319076878 -7.65837700436036 -9.29830342810369 -1.94773953977538 
-26 2.80313095454767 -2.46500090553789 -7.38468211324093 -2.76898704921799 -4.2746807245917 -5.78638461487009 -11.3124500331637 -19.7992123677054 -28.4230191630459 -37.0702738075437 -49.0674654259777 -12.505113033634 -18.2418954848931 -26.6158222107884 -13.9946730589007 -13.8124518976093 -13.680893390421 -16.0615934418581 -18.4462205997024 -20.4896921009978 -25.2663622964889 -17.0468122139467 -18.3159106140136 -11.8768331248932 -5.00072223235755 -15.0971626127816 -7.79011175164734 -9.39644221758265 -1.9820174260082 
-25.8 2.79313324219038 -2.49859174399293 -7.35109127478589 -2.80177675901395 -4.3410612728427 -5.88635600157613 -11.2468133888626 -19.6999848849492 -28.2902008418347 -36.9038646478775 -48.8674654278564 -12.4722947105441 -18.1754863233481 -26.5158222107884 -14.0603097050805 -13.9116793822442 -13.8137117135109 -16.228002603403 -18.6462205997024 -20.5887314740611 -25.3989925080074 -17.1122607485551 -18.3829041812309 -11.9102358536555 -5.00053412266476 -15.2625825340964 -7.92194083450628 -9.49468046198693 -2.01625146519787 
-25.6 2.78313660261665 -2.53217897805349 -7.31750404072534 -2.8345758759027 -4.40744762379201 -5.98632958658599 -11.1811623264951 -19.6007465885212 -28.1573753113462 -36.7374518833284 -48.6674654292468 -12.4394691786652 -18.1090735574087 -26.4158222107884 -14.1259607688383 -14.0109176800625 -13.9465372453898 -16.3944153693425 -18.8462205997024 -20.687830625574 -25.5316788935808 -17.1777726660074 -18.4499395044369 -11.9436839428009 -5.00039497774964 -15.4280680365581 -8.05383910290826 -9.59299149632798 -2.05044767817748 
-25.4 2.77314059280252 -2.56576409621471 -7.28391892256411 -2.86738124793672 -4.47383811398724 -6.08630519494245 -11.1155028001681 -19.5015019440329 -28.0245455486966 -36.5710370025176 -48.4674654302748 -12.4066394149877 -18.0426586755699 -26.3158222107884 -14.1916202961934 -14.1101623255788 -14.0793670090674 -16.5608302511812 -19.0462205997024 -20.7869724330659 -25.6644058192339 -17.2433293553381 -18.5170069037629 -11.9771662239657 -5.0002921407532 -15.5936003342456 -8.18578628243379 -9.69135355769266 -2.08461176884906 
-25.2 2.76314477449705 -2.59934857093508 -7.25033444784374 -2.90018977006488 -4.54023111083579 -6.18628266651137 -11.0498406998099 -19.4022553689544 -27.8917144988978 -36.4046214779984 -48.2674654310352 -12.3738083644284 -17.9762431502903 -26.2158222107885 -14.2572823973119 -14.2094089014177 -14.2121980596266 -16.7272457764609 -19.2462205997024 -20.8861429782714 -25.7971608391597 -17.3089154258232 -18.5840998233306 -12.0106746688131 -5.00021611088018 -15.7591638762993 -8.31776534976779 -9.78974815030592 -2.11874917419868 
-25 2.75314871173759 -2.63293386698478 -7.21674915179404 -2.93299836604723 -4.60662500286783 -6.28626185459312 -10.9841818845716 -19.3030112576664 -27.75888509156 -36.2382067746109 -48.067465431598 -12.3409789565279 -17.9098284463401 -26.1158222107885 -14.3229412131131 -14.3086530132686 -14.3450274675272 -16.8936604804111 -19.4462205997024 -20.9853308462101 -25.9299340031482 -17.3745179977122 -18.6512141720807 -12.0442037215134 -5.00015986753082 -15.9247456362704 -8.44976181368849 -9.88815931817729 -2.15286510738471 
