pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Xei{-1} Xei{0} Xei{1} XesubO{1} XesubO{2} XesubO{3} XesubZr{-3} XesubZr{-4} XesubZr{-5} Stoich
-35 3.26550470845677 -0.911493311164359 -8.93818970761446 -1.40518506856805 -1.35737114956822 -1.31556744547308 -14.0984153199173 -24.1386852488325 -34.3159996385466 -44.5167618774179 -58.0674610902255 -13.8980978533222 -21.1883878989548 -31.1158222192237 -11.2087034448294 -9.47297468916453 -7.78790858760269 -8.61510104466623 -9.44622060813703 -20.8980617426352 -17.5773940728483 -22.5971551140581 -5.06783521592496 -5.83980525844194 -15.6443867378953 -23.4008609252611 -18.3114279404047 -23.274950242425 -0.102530510005656 
-34.8 3.25472892481082 -0.947698354352443 -8.90198466442638 -1.42876840384067 -1.41715952802893 -1.41156086712187 -14.0432354926689 -24.047300378396 -34.188409724922 -44.3529669206053 -57.8674610902247 -13.8705079374802 -21.1245929399248 -31.0158222170055 -11.2638832698597 -9.56435955738291 -7.91549849900915 -8.77889599926077 -9.64622060591966 -20.8799043417451 -17.52303162877 -22.5065876267917 -5.07326115252554 -5.80902615185443 -15.5774025881201 -23.2551136129645 -18.2018856712961 -23.2016130165046 -0.163793364205231 
-34.6 3.24395857383547 -0.983885144568833 -8.86579787420999 -1.45301622960464 -1.47759414400929 -1.50818227331862 -13.9879826535352 -23.955860749046 -34.0607833053556 -44.1891537108225 -57.6674610902255 -13.8428815162837 -21.0607797285118 -30.9158222153762 -11.319136107364 -9.65579918510359 -8.04312491694622 -8.94270920741423 -9.84622060428951 -20.8614753059486 -17.4684158027572 -22.4157850105625 -5.07907994412244 -5.77865815323493 -15.5108477992839 -23.109058159231 -18.092017007779 -23.1279311432038 -0.223696640181961 
-34.4 3.23320324441727 -1.02002146456949 -8.82966155420933 -1.47788626287177 -1.53860049727709 -1.60532494658708 -13.9325279335372 -23.8642697090472 -33.9330559453562 -44.0252900308224 -57.4674610902248 -13.815154155086 -20.9969160473135 -30.8158222141772 -11.374590826163 -9.74739022390329 -8.17085227574659 -9.10657288621526 -10.0462206030912 -20.8428334873574 -17.4136376641652 -22.3248705519699 -5.08530815999735 -5.74875004910918 -15.4448033751578 -22.9626889818394 -17.981784150388 -23.0538346058135 -0.282175569977578 
-34.2 3.22247010400554 -1.05608323278218 -8.79359978599664 -1.50333846979287 -1.60011447241087 -1.70290068993355 -13.8767750063887 -23.7724550136861 -33.8051794817823 -43.8613517990359 -57.2674610902256 -13.7872776906276 -20.9329778146425 -30.7158222132935 -11.4303437524278 -9.83920491838075 -8.29872873843673 -9.27051111711809 -10.2462206022067 -20.8240358606574 -17.3587782692526 -22.2339493888446 -5.09196274110214 -5.71934286200128 -15.3793344198369 -22.8160148924492 -17.8711718292106 -22.9792840528487 -0.339195161318258 
-34 3.21176435562199 -1.09205296782159 -8.75763005095723 -1.52933504982994 -1.66208078748735 -1.80083674004944 -13.8206539465456 -23.6803642188036 -33.6771189518604 -43.6973215340745 -57.0674610902248 -13.7592171600544 -20.8689475490298 -30.6158222126414 -11.4864648116189 -9.93129571261121 -8.4267892677066 -9.43454138142737 -10.4462206015554 -20.8051374895834 -17.3039101631392 -22.1431115476917 -5.09906095071728 -5.69047133657702 -15.3144931593736 -22.6690559921054 -17.7601826639061 -22.9042646225837 -0.394745869672927 
-33.8 3.20108962392135 -1.12791849138267 -8.72176452739615 -1.55584038497468 -1.72445164619317 -1.89907312231635 -13.7641160407899 -23.5879607894868 -33.5488499989826 -43.5331870576356 -56.8674610902249 -13.7309482066948 -20.8048130721091 -30.5158222121596 -11.5430027168929 -10.0236991414463 -8.5550582201028 -9.59867585738465 -10.6462206010738 -20.7861913813146 -17.2490985313093 -22.0524343923008 -5.10662017807466 -5.6621650403737 -15.2503213396088 -22.5218409314404 -17.6488331268022 -22.8287806090409 -0.448839491919004 
-33.6 3.19044827708171 -1.16367184673637 -8.68601117204245 -1.58282096685136 -1.78718558342355 -1.99756041490042 -13.7071294622047 -23.4952208555479 -33.42035670969 -43.3689404129893 -56.6674610902249 -13.7024549170462 -20.7405664271068 -30.4158222118037 -11.5999892951221 -10.1164390750292 -8.6835515090394 -9.76292250167494 -10.8462206007178 -20.7672483562126 -17.1944021508536 -21.9619846564914 -5.11465773520568 -5.63444924215025 -15.186852186032 -22.3744046174018 -17.5371501681173 -22.7528510057097 -0.501505325934678 
-33.4 3.1798416924355 -1.19930840624899 -8.65037461252983 -1.61024531069055 -1.85024648677536 -2.09625787776485 -13.6496757002552 -23.4021305340858 -33.2916298287153 -43.204576972502 -56.4674610902249 -13.6737280358081 -20.6762029863562 -30.3158222115404 -11.6574430568083 -10.209529396228 -8.81227838975083 -9.927285941899 -11.0462206004544 -20.7483572567816 -17.1398744919099 -21.8718204380351 -5.12319097987678 -5.6073459273095 -15.1241123116783 -22.2267866372593 -17.4251687474875 -22.6765061445925 -0.552786631665252 
-33.2 3.16927047387378 -1.23482614093565 -8.61485687784318 -1.63808386249941 -1.91360277327088 -2.19513189894703 -13.5917466390019 -23.3086837381458 -33.1626652980886 -43.0400947071887 -56.2674610902249 -13.6447635049866 -20.611720720848 -30.2158222113455 -11.7153721178668 -10.3029761919732 -8.94124292018265 -10.0917682070175 -11.2462206002596 -20.729564517613 -17.0855640180548 -21.7819922294933 -5.13223679271236 -5.58087400545766 -15.0621226551401 -22.079029367659 -17.3129292125738 -22.5997843443654 -0.602737421134268 
-33 3.15873462853324 -1.27022502681812 -8.57945799196071 -1.66630890344398 -1.97722670009791 -2.29415471165653 -13.5333421825318 -23.2148803957933 -33.0334630698536 -42.8754935930712 -56.0674610902249 -13.6155612766073 -20.5471196065862 -30.1158222112013 -11.7737765741927 -10.3967795341815 -9.07044514827344 -10.2563693209907 -11.4462206001153 -20.7109144729239 -17.0315150874831 -21.6925444130392 -5.14181178911162 -5.55505011597522 -15.0008998797749 -21.931177094879 -17.2004758256763 -22.5227298433504 -0.651419596397051 
-32.8 3.14823370955514 -1.30550656527581 -8.54417645350301 -1.69489445434256 -2.04109378945419 -2.3933033394705 -13.4744683363626 -23.1207250111664 -32.904026146769 -42.7107751315289 -55.8674610902249 -13.5861243534159 -20.4824011449371 -30.0158222110945 -11.832650420255 -10.4909349187016 -9.1998820712512 -10.4210877824262 -11.6462206000084 -20.6924490771684 -16.97776815327 -21.6035159403683 -5.15193194436193 -5.52988873276707 -14.9404569581094 -21.7832747761458 -17.0878550454008 -22.4453906015326 -0.698900444391461 
-32.6 3.13776693079785 -1.34067339762866 -8.50900962115016 -1.723816181899 -2.10518234936347 -2.49255873173263 -13.415135665774 -23.0262255082249 -32.7743598114747 -42.5459419638818 -55.667461090225 -13.5564580180425 -20.4175679772108 -29.9158222110153 -11.8919830907645 -10.5854344215639 -9.32954840646635 -10.5859209499942 -11.8462205999293 -20.6742079201457 -16.9243601638944 -21.5149411186399 -5.16261251497441 -5.50540247102746 -14.8808038640166 -21.6353672839079 -16.9751143855158 -22.3678167740004 -0.745250487709603 
