distance	O_AE_s1	O_pp_s1	O_AE_s2	O_pp_s2	O_AE_p1	O_pp_p1	O_AE_p2	O_pp_p2
6.86E-05	7.02E-04	-1.36E-04	5.75E-04	-1.21E-04	1.10E-07	1.09E-08	1.30E-07	1.21E-08
7.02E-05	7.18E-04	-1.39E-04	5.88E-04	-1.24E-04	1.15E-07	1.14E-08	1.35E-07	1.27E-08
7.18E-05	7.34E-04	-1.42E-04	6.01E-04	-1.27E-04	1.20E-07	1.19E-08	1.41E-07	1.33E-08
7.34E-05	7.50E-04	-1.45E-04	6.15E-04	-1.30E-04	1.25E-07	1.25E-08	1.47E-07	1.38E-08
7.50E-05	7.67E-04	-1.49E-04	6.28E-04	-1.33E-04	1.30E-07	1.30E-08	1.53E-07	1.45E-08
7.66E-05	7.83E-04	-1.52E-04	6.41E-04	-1.36E-04	1.36E-07	1.36E-08	1.59E-07	1.51E-08
7.82E-05	8.00E-04	-1.55E-04	6.55E-04	-1.38E-04	1.41E-07	1.42E-08	1.66E-07	1.57E-08
7.98E-05	8.16E-04	-1.58E-04	6.68E-04	-1.41E-04	1.47E-07	1.48E-08	1.72E-07	1.64E-08
8.14E-05	8.33E-04	-1.61E-04	6.82E-04	-1.44E-04	1.52E-07	1.54E-08	1.79E-07	1.71E-08
8.31E-05	8.50E-04	-1.65E-04	6.96E-04	-1.47E-04	1.58E-07	1.60E-08	1.86E-07	1.78E-08
8.47E-05	8.66E-04	-1.68E-04	7.09E-04	-1.50E-04	1.64E-07	1.66E-08	1.93E-07	1.85E-08
8.63E-05	8.83E-04	-1.71E-04	7.23E-04	-1.53E-04	1.70E-07	1.73E-08	2.00E-07	1.92E-08
8.80E-05	9.00E-04	-1.74E-04	7.37E-04	-1.56E-04	1.76E-07	1.80E-08	2.07E-07	1.99E-08
8.97E-05	9.17E-04	-1.78E-04	7.51E-04	-1.59E-04	1.82E-07	1.86E-08	2.14E-07	2.07E-08
9.13E-05	9.34E-04	-1.81E-04	7.65E-04	-1.62E-04	1.89E-07	1.93E-08	2.22E-07	2.15E-08
9.30E-05	9.51E-04	-1.84E-04	7.79E-04	-1.65E-04	1.95E-07	2.00E-08	2.29E-07	2.23E-08
9.47E-05	9.68E-04	-1.88E-04	7.93E-04	-1.68E-04	2.02E-07	2.08E-08	2.37E-07	2.31E-08
9.64E-05	9.86E-04	-1.91E-04	8.07E-04	-1.71E-04	2.09E-07	2.15E-08	2.45E-07	2.39E-08
9.81E-05	1.00E-03	-1.94E-04	8.21E-04	-1.74E-04	2.15E-07	2.23E-08	2.53E-07	2.48E-08
9.98E-05	1.02E-03	-1.98E-04	8.35E-04	-1.77E-04	2.22E-07	2.31E-08	2.61E-07	2.56E-08
1.01E-04	1.04E-03	-2.01E-04	8.50E-04	-1.80E-04	2.30E-07	2.39E-08	2.70E-07	2.65E-08
