pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Ii{0} Ii{-1} Ii{1} IsubO{1} IsubO{2} IsubO{3} IsubZr{-3} IsubZr{-4} IsubZr{-5} Stoich
-35 3.26550411760667 -0.911495296333519 -8.9381877224453 -1.40518121991455 -1.35736928608388 -1.3155675671579 -14.098423260594 -24.13869120434 -34.3160036088849 -44.5167638625871 -58.0674610902255 -13.8981018236606 -21.1883898841241 -31.1158222192237 -11.2086955041529 -9.47296873365712 -7.78790461726444 -8.61509905949714 -9.4462206081371 -22.1644894377608 -18.136286051453 -22.0877891604562 -5.00000006078336 -12.3374822852594 -17.5551288763569 -26.5025621329119 -29.7173489234894 -28.7933647376848 -0.102528782645781 
-34.9 3.26011621014244 -0.929597870479871 -8.92008514829895 -1.41688680118414 -1.38717744149983 -1.3634782967202 -14.070833557179 -24.0929989267787 -34.2522087571773 -44.4348664367331 -57.9674610902251 -13.8843069707586 -21.1564924570757 -31.065822218029 -11.2362852063731 -9.51866101002374 -7.85169946777742 -8.69699648415646 -9.54622060694278 -22.1346812181292 -18.1245804059678 -22.0398783666783 -4.99999999776224 -12.319379648092 -17.5189236650434 -26.4270616369137 -29.6599510016375 -28.7540693899793 -0.133324629555646 
-34.8 3.25472824173195 -0.947700649396653 -8.90198236938217 -1.42876394317827 -1.41715736241074 -1.4115609965479 -14.0432446728457 -24.0473072635287 -34.1884143150104 -44.3529692156495 -57.8674610902247 -13.8705125275687 -21.1245952349691 -31.0158222170056 -11.2638740896829 -9.56435267225034 -7.91549390892079 -8.77889370421662 -9.64622060591972 -22.104701323373 -18.1127032901284 -21.9917956930053 -5.00000002494057 -12.3012768963535 -17.4827181343882 -26.3513900799309 -29.6023822235715 -28.71460339083 -0.163791229011657 
-34.7 3.24934167400414 -0.965798722226318 -8.88388429655251 -1.44080714977149 -1.44729864183362 -1.45980034880044 -14.0156369641648 -24.0016014820181 -34.1246104606702 -44.2710672884796 -57.7674610902251 -13.8567086723509 -21.0926933069216 -30.9658222161284 -11.2914817974867 -9.61005845288377 -7.97929776238389 -8.86079563050938 -9.74622060504215 -22.0745600169363 -18.1006600565213 -21.9435563137389 -4.99999999880373 -12.2831787973874 -17.446521962592 -26.2755429928607 -29.544633209331 -28.6749524494192 -0.193917377955377 
-34.6 3.24395778457384 -0.983887796371451 -8.86579522240737 -1.45301106358768 -1.47759162979495 -1.5081824109069 -13.9879932607457 -23.9558687044538 -34.0607886089608 -44.1891563626251 -57.6674610902255 -13.842886819889 -21.0607823803145 -30.9158222153763 -11.3191255001536 -9.65579122969579 -8.04311961334104 -8.94270655561167 -9.84622060428956 -22.0442670616099 -18.0884561753401 -21.8951742842674 -5.00000003219106 -12.2650897566292 -17.4103438476887 -26.1995172607223 -29.4866965513377 -28.6351048655711 -0.223694014278886 
-34.5 3.23857768426731 -1.0019641396198 -8.84771887915903 -1.4653704675809 -1.50802737703652 -1.55669450139682 -13.9602986337387 -23.9100977341985 -33.9969412954572 -44.1072327058731 -57.5674610902251 -13.8290395057404 -21.0288587229176 -30.865822214731 -11.3468201265153 -9.70156219930584 -8.10696692619944 -9.02463021171841 -9.94622060364466 -22.0138313190052 -18.0760967759837 -21.8466621984144 -5.00000003747303 -12.2470134186628 -17.3741911664744 -26.1233105485076 -29.4285661823714 -28.595050839853 -0.253114075084016 
-34.4 3.23320233314785 -1.02002452630029 -8.82965849247853 -1.47788028558319 -1.5385975817193 -1.60532509276009 -13.9325401804603 -23.8642788942396 -33.9330620688178 -44.0252930925532 -57.4674610902248 -13.8151602785476 -20.9969191090443 -30.8158222141772 -11.3745785792399 -9.74738103871096 -8.17084615228505 -9.10656982448451 -10.0462206030912 -21.9832611000135 -18.0635869436725 -21.7980315927422 -5.0000000237181 -12.2289530182274 -17.3380703793585 -26.0469214901108 -29.370237510655 -28.5547825548172 -0.282172357054177 
-34.3 3.22783255536005 -1.0380661874087 -8.81161683137012 -1.49053558207336 -1.56929453931789 -1.65406371146709 -13.9047068248944 -23.8184038775653 -33.869145391035 -43.943334753662 -57.3674610902252 -13.801243600289 -20.9649607696773 -30.7658222137018 -11.4024119343304 -9.79325605490989 -8.2347628295924 -9.18852816290028 -10.1462206026154 -21.95256411474 -18.0509316195074 -21.7492929463603 -4.99999999651837 -12.2109113299196 -17.3019870299419 -25.9703494886383 -29.311707170291 -28.5142938755616 -0.310865379431374 
-34.2 3.22246905281397 -1.05608676463076 -8.79359625414807 -1.50333156127572 -1.6001110957423 -1.70290084511355 -13.876789133783 -23.7724656092318 -33.8051865454795 -43.8613553308844 -57.2674610902256 -13.7872847543248 -20.9329813464911 -30.7158222132935 -11.4303296250336 -9.83919432283507 -8.29872167473962 -9.27050758526956 -10.2462206022068 -21.9217475726346 -18.0381356546241 -21.7004558270328 -5.00000001124587 -12.1928907674247 -17.2659458902249 -25.8935946786078 -29.2529729374825 -28.4735802199751 -0.33919125009663 
-34.1 3.2171124177553 -1.07408426810835 -8.77559875067047 -1.51626356574348 -1.63104060368765 -1.7518278565365 -13.848779147693 -23.7264581196642 -33.7411815524343 -43.7793528343617 -57.1674610902252 -13.7732797609293 -20.900978849618 -30.6658222129428 -11.4583396107728 -9.88520181205194 -8.36272666743409 -9.35251008144161 -10.3462206018564 -21.8908180823606 -18.0252036678277 -21.6515288332812 -5.00000002926776 -12.174893281969 -17.229950901292 -25.8166576991169 -29.1940334614692 -28.4326382474394 -0.367149535133836 
