pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Ii{0} Ii{-1} Ii{1} IsubO{1} IsubO{2} IsubO{3} IsubZr{-3} IsubZr{-4} IsubZr{-5} Stoich
-35 3.22899041067287 -1.03417596438793 -8.8155070543909 -1.16931511986603 -1.24418385408977 -1.3250628032182 -14.5891459328116 -24.5067332085032 -34.5613649449937 -44.6394445306415 -58.0674610902255 -14.1434631656884 -21.3110705580975 -31.1158222251428 -10.7179728378543 -9.10492673541293 -7.54254328707466 -8.49241839736176 -9.44622061405613 -22.2776748811511 -18.3721521628978 -22.0782939357922 -5.00000006626058 -12.2148016226823 -17.3097675457253 -26.9837895745464 -30.3212570331783 -29.5199535154281 0.0137443588119564 
-34.8 3.21589972648026 -1.07815873187167 -8.77152428690716 -1.17731859911254 -1.29617010082002 -1.42103181743218 -14.5650770027458 -24.4386815109537 -34.4493304799605 -44.4834272981245 -57.8674610902247 -14.1314286972955 -21.2550533222208 -31.0158222217824 -10.7420417645596 -9.17297842960205 -7.65457774874751 -8.64843562651835 -9.64622061069647 -22.2256885541992 -18.3641486034296 -21.9823248413565 -4.99999998939932 -12.1708187783373 -17.2218019338969 -26.8637515534054 -30.245201779521 -29.4878810292546 -0.0315732777924013 
-34.6 3.20269272410648 -1.12253231128252 -8.7271507074963 -1.18517503669447 -1.34840011781281 -1.51763541383583 -14.54257132039 -24.371802249187 -34.338077638783 -44.3278008775361 -57.6674610902255 -14.120175853571 -21.1994268990854 -30.9158222192361 -10.7645474443692 -9.23985768882245 -7.76583058737877 -8.80406204456046 -9.84622060814943 -22.1734586083502 -18.3562922369915 -21.8857213160967 -5.00000006308939 -12.1264452726165 -17.1330548487649 -26.744642348336 -30.1704661538625 -29.4575189830069 -0.0741898403022758 
-34.4 3.1893792273708 -1.16726369603713 -8.68241932274169 -1.19284352031031 -1.40079998618326 -1.61476666696088 -14.5214968594077 -24.3059964034501 -34.2275404082914 -44.17253226229 -57.4674610902248 -14.1096386211436 -21.1441582819034 -30.8158222172995 -10.7856219034148 -9.30566353262272 -7.87636781593365 -8.95933065786995 -10.0462206062135 -22.1210587401145 -18.3486237535104 -21.7885900631064 -5.00000006516081 -12.0817138899333 -17.0435920813275 -26.6264366363001 -30.0969918265812 -29.4287760404802 -0.114060070633413 
-34.2 3.17596701174868 -1.21232676168517 -8.63735625709366 -1.20028784874025 -1.45330738026123 -1.7123371266869 -14.5017491220006 -24.241185600395 -34.1176665395883 -44.0175953279388 -57.2674610902256 -14.0997647509616 -21.0892213460734 -30.7158222158214 -10.8053696393438 -9.37047433419974 -7.98624168315871 -9.11426759074305 -10.2462206047347 -22.0685513312072 -18.3411794102511 -21.691019588551 -5.00000005180953 -12.036650810934 -16.9534659366798 -26.5091184258157 -30.0247366817448 -29.4015839612919 -0.151183372129602 
-34 3.16246229428949 -1.25770061985802 -8.5919823989208 -1.20747674436446 -1.5058701340583 -1.81027373865683 -14.4832445546913 -24.1773071749129 -34.0084142559333 -43.8629691861109 -57.0674610902248 -14.0905124661756 -21.0345952031145 -30.6158222146897 -10.8238742055214 -9.4343527585502 -8.09549396568202 -9.26889373143922 -10.4462206036037 -22.0159885499786 -18.3339904871954 -21.5930829491496 -5.00000002550973 -11.9912769264613 -16.8627181940346 -26.3926772202367 -29.9536693343386 -29.3758904720586 -0.18559751966333 
-33.8 3.14887014268688 -1.3033682438527 -8.54631477492612 -1.21438396337529 -1.55844497706381 -1.90851620565701 -14.46591505067 -24.1143100468969 -33.8997495039226 -43.7086368101056 -56.8674610902248 -14.0818477132956 -20.9802628262399 -30.5158222138204 -10.8412037086736 -9.49734988569704 -8.20415871682354 -9.42322610657542 -10.6462206027346 -21.9634137532439 -18.3270833144554 -21.4948405284202 -5.00000007264943 -11.9456093496067 -16.771382993185 -26.2771052963551 -29.8837650344518 -29.3516537961664 -0.217372194230227 
-33.6 3.13519480873489 -1.34931534826857 -8.50036767051025 -1.2209883063835 -1.61099642448788 -2.00701475749695 -14.4497034683335 -24.0521513601445 -33.7916437127544 -43.5545839145215 -56.6674610902249 -14.0737419214581 -20.9262099299865 -30.4158222131511 -10.8574152903408 -9.55950857178013 -8.3122645073225 -9.57727900149024 -10.8462206020653 -21.9108622873266 -18.3204789529539 -21.3963419580871 -5.00000005482552 -11.8996622273666 -16.6794887665293 -26.1623951443548 -29.8150019868673 -29.3288378529977 -0.24660259685547 
-33.4 3.1214399932989 -1.39552949874393 -8.45415352003489 -1.22727353333666 -1.6634958019164 -2.10572828540083 -14.434560070235 -23.9907938115706 -33.6840720137051 -43.4007980649969 -56.4674610902249 -14.066170221892 -20.8724240799451 -30.3158222126344 -10.8725586879225 -9.62086611983722 -8.41983620585495 -9.73106485049806 -11.0462206015484 -21.8583628898931 -18.3141937059957 -21.2976284101781 -5.00000003533729 -11.8534480574033 -16.5870604460904 -26.0485381988641 -29.747359191852 -29.3074092084578 -0.273403372942922 
-33.2 3.1076090507958 -1.44199942493297 -8.40768359384585 -1.23322818894191 -1.7159203837107 -2.20462279338417 -14.4204397749912 -23.9302035901378 -33.5770118660833 -43.247267991186 -56.2674610902249 -14.0591100738701 -20.8188940057341 -30.2158222122343 -10.8866789827663 -9.68145634087 -8.52689635307678 -9.88459492390892 -11.2462206011483 -21.8059383408024 -18.3082390830941 -21.1987339348984 -5.00000006844094 -11.8069781643176 -16.4941206268159 -25.9355234287406 -29.6808143479175 -29.2873342907124 -0.297903034590445 
-33 3.09370514135991 -1.48871450925065 -8.36096850952817 -1.23884534716804 -1.76825262625451 -2.30367012024566 -14.4073001122619 -23.8703488430909 -33.4704420347186 -43.0939830755037 -56.0674610902249 -14.052540242195 -20.7656090897413 -30.1158222119238 -10.8998186451851 -9.74131108760648 -8.63346618413093 -10.0378798392808 -11.4462206008379 -21.7536061129578 -18.3026219395672 -21.0996866227361 -5.0000000834506 -11.7602630950099 -16.4006904731902 -25.8233364541595 -29.6153424576541 -29.2685774847667 -0.32023901305269 
-32.8 3.07973133870078 -1.53566442448631 -8.31401859429251 -1.24412228592315 -1.82047948024528 -2.40284688947209 -14.3950997732046 -23.8111985887978 -33.36434186519 -42.9409329907394 -55.8674610902249 -14.0464400724248 -20.7125590047355 -30.0158222116824 -10.9120189840009 -9.80046134165799 -8.7395663534181 -10.1909299238036 -11.6462206005963 -21.7013792734871 -18.2973450153322 -21.0005098680298 -5.00000009821224 -11.7133131945355 -16.3067906574806 -25.7119593606374 -29.5509152793676 -29.2511002217158 -0.340553415059382 
-32.6 3.06569070127284 -1.58283889468439 -8.26684412409443 -1.24906010521115 -1.87259176973136 -2.50213364915625 -14.3837976539969 -23.7527219993921 -33.2586908055862 -42.7881074609375 -55.667461090225 -14.0407890126327 -20.6597334747453 -29.9158222114941 -10.9233211030203 -9.85893793087544 -8.84521741283363 -10.3437554534172 -11.846220600408 -21.6492669843984 -18.2924071964415 -20.901223108743 -5.00000009879784 -11.6661387249234 -16.21244171767 -25.6013704823312 -29.4875008712595 -29.2348602838058 -0.358989502909481 
-32.4 3.05158631383182 -1.63022755552069 -8.21945546325813 -1.25366330349637 -1.92458362885287 -2.60151416911406 -14.3733522973421 -23.694887981901 -33.1534681272588 -42.6354961217738 -55.467461090225 -14.0355663341582 -20.6071221354345 -29.815822211347 -10.9337664595279 -9.91677194821939 -8.95044009101388 -10.4963667924337 -12.0462206002609 -21.5972751534324 -18.2878040263118 -20.8018426169407 -5.00000012710051 -11.6187500923894 -16.1176644243001 -25.4915446340212 -29.4250636837859 -29.2198117571685 -0.375688874521212 
-32.2 3.0374213058383 -1.67781989246943 -8.1718631263094 -1.2579393277814 -1.97645199008664 -2.70097486729657 -14.3637216451371 -23.6376649927473 -33.0486528011563 -42.4830884587225 -55.267461090225 -14.0307510079404 -20.554714472268 -29.7158222112317 -10.9433971116178 -9.97399493725793 -9.05525541700116 -10.6487744553698 -12.2462206001456 -21.5454067845221 -18.2835279943503 -20.7023819110817 -5.00000011953926 -11.5711577478798 -16.0224797428414 -25.3824532760725 -29.3635646627858 -29.2059050731171 -0.390789288009443 
-32 3.02319885246619 -1.72560523741473 -8.12407778136409 -1.2618981126632 -2.02819611991374 -2.80050434206897 -14.3548630249183 -23.5810210275832 -32.9442234910469 -42.3308738036679 -55.067461090225 -14.0263216977406 -20.5024998171228 -29.6158222111413 -10.9522557317461 -10.0306389023316 -9.15968472702009 -10.800989110334 -12.4462206000552 -21.4936626787117 -18.2795692334852 -20.602852460326 -5.00000014364641 -11.5233724270413 -15.9269090770579 -25.2740652051884 -29.3029619368471 -29.1930876921237 -0.404423056130647 
-31.8 3.00892216325745 -1.77357280676911 -8.07611021200971 -1.26555162277061 -2.07981719937553 -2.90009299088514 -14.3467333023359 -23.5249237356464 -32.8401586297557 -42.1788413730223 -54.867461090225 -14.0222568363782 -20.4504673864061 -29.5158222110702 -10.9603854542574 -10.0867361941972 -9.26374958824016 -10.9530215409084 -12.646220599984 -21.4420416344188 -18.2759157585467 -20.5032638466787 -5.00000017888644 -11.4754048929273 -15.8309739735892 -25.1663468690298 -29.2432111700429 -29.1813044946739 -0.416715927110148 
-31.6 2.99459446269327 -1.82171176675156 -8.02797125202727 -1.26891341120755 -2.13131794779492 -2.99973269928698 -14.3392891422657 -23.4693406155937 -32.7364365497206 -42.0269803330047 -54.6674610902251 -14.018534756287 -20.3986063463325 -29.4158222110141 -10.9678296142715 -10.1423193141938 -9.36747166821915 -11.1048825808699 -12.8462205999279 -21.3905408479598 -18.2725539320701 -20.4036241002373 -5.0000001409029 -11.4272658949609 -15.7346960156407 -25.0592629625743 -29.1842662235698 -29.1704985081832 -0.427786367930976 
