pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Tei{0} Tei{-1} Tei{1} TesubO{1} TesubO{2} TesubO{3} TesubZr{-3} TesubZr{-4} TesubZr{-5} Stoich
-35 3.26590286431843 -0.910155566213215 -8.93952745256561 -1.40799378823922 -1.35884212428825 -1.31570067524197 -14.0930643401127 -24.1346720139791 -34.3133241486443 -44.5154241324668 -58.0674610902255 -13.8954223633719 -21.1870501539557 -31.1158222191756 -11.214054424586 -9.47698792396993 -7.79058407745695 -8.61643878956934 -9.446220608089 -12.9029000920724 -17.3159701126265 -21.1891877636468 -3.02016204842795 -4.34329171573309 -11.3699810685437 -23.0236597091836 -20.6210160148043 -27.9377860828009 -0.10064365740784 
-34.8 3.25516153058879 -0.946244862765237 -8.90343815601359 -1.43180866920974 -1.4187463018108 -1.41169414931654 -14.0374215263201 -24.0429399036344 -34.1855027417476 -44.3515134290181 -57.8674610902247 -13.8676009542671 -21.1231394482988 -31.0158222169668 -11.2696972361698 -9.56872003210576 -7.9184054821448 -8.78034949080921 -9.6462206058809 -12.8446996565766 -17.2938589736827 -21.094898031599 -3.02186579266356 -4.30890616341668 -11.2995062196756 -22.8737271655519 -20.5071727677247 -27.8600321322733 -0.161600432490218 
-34.6 3.24442871053509 -0.982305554622222 -8.8673774641566 -1.45630872526595 -1.47930704972399 -1.50831558908671 -13.9816642937488 -23.9511219792062 -34.0576241254624 -44.1875741208759 -57.6674610902255 -13.8397223363592 -21.0592001385339 -30.9158222153449 -11.3254544671191 -9.66053795491212 -8.04628409680815 -8.94428879732954 -9.84622060425821 -12.7859812121771 -17.2712012211402 -21.0001188953425 -3.02370809779914 -4.27468777669527 -11.2292271410968 -22.7231907983461 -20.3926970923759 -27.7816171487814 -0.221160084502253 
-34.4 3.23371426380993 -1.01830451480611 -8.83137850397272 -1.48145348914299 -1.54045077378491 -1.60545827333152 -13.9256601344836 -23.8591188597571 -33.9296220458294 -44.023573081059 -57.4674610902248 -13.8117202555339 -20.9951990975248 -30.8158222141519 -11.3814586251913 -9.75254107316817 -8.17428617524808 -9.10828983595336 -10.0462206030659 -12.7268269274864 -17.2480458966334 -20.9049656504679 -3.02569753836242 -4.24067825707467 -11.1592186612927 -22.5720333953993 -20.277538649613 -27.7024576662025 -0.279255290861967 
-34.2 3.22302565832979 -1.05421665221935 -8.79546636655947 -1.50720494274466 -1.60211436479983 -1.70303400175968 -13.8693086841374 -23.7668552719976 -33.8014463206567 -43.859485218473 -57.2674610902256 -13.7835445294816 -20.9311112340592 -30.7158222132731 -11.4378100746587 -9.84480466004882 -8.30246189954197 -9.2723776976605 -10.2462206021863 -12.6673090385944 -17.2244401451546 -20.8095356241627 -3.02784324136418 -4.20691182266318 -11.0895400894676 -22.4202519196267 -20.1616693112536 -27.6225004652563 -0.335848542796065 
-34 3.21236843015708 -1.09002336650902 -8.7596596522698 -1.53352752058337 -1.66424365692821 -1.80097000817773 -13.8125355412953 -23.6742754148659 -33.6730597492353 -43.695291932762 -57.0674610902248 -13.7551579574128 -20.8669179477008 -30.6158222126249 -11.4945832168526 -9.93738451653241 -8.43084847031524 -9.43657098272344 -10.4462206015389 -12.6074913995283 -17.2004292203781 -20.7139112708068 -3.03015489507451 -4.17341676208384 -11.020238314599 -22.2678544240769 -20.0450785299935 -27.5417163982859 -0.39092781203447 
-33.8 3.20174657275072 -1.12571124024241 -8.72397177853642 -1.56038808039572 -1.72679209047395 -1.89920631545685 -13.7552870362289 -23.581339036066 -33.5444354967021 -43.5309798064954 -56.8674610902249 -13.7265337044009 -20.8026058209555 -30.5158222121463 -11.5518317214407 -10.0303208948538 -8.55947272237003 -9.60088310851161 -10.6462206010605 -12.547430823848 -17.1760565184313 -20.6181628213932 -3.03264275341825 -4.14021674669458 -10.951350425476 -22.1148574700753 -19.9277694497253 -27.460095191751 -0.444502432003235 
-33.6 3.19116286240239 -1.16127094548902 -8.68841207328981 -1.58775585403493 -1.78971956935976 -1.99769349958928 -13.6975258572153 -23.4880181518059 -33.4155549071953 -43.366539511742 -56.6674610902249 -13.6976531145408 -20.7381655258487 -30.4158222117929 -11.6095929001008 -10.1236417787605 -8.68835331152336 -9.76532340291156 -10.846220600707 -12.4871782267645 -17.1513636265944 -20.5223505190631 -3.03531763557401 -4.10733192360334 -10.8829058971385 -21.9612839890851 -19.8097556739817 -27.377641121254 -0.496599238966789 
-33.4 3.18061912781627 -1.19669633807265 -8.65298668070617 -1.61560238794544 -1.85299149585391 -2.09639081866706 -13.6392274275499 -23.3942943295568 -33.2864056923626 -43.2019649043256 -56.4674610902249 -13.6685038994468 -20.6735909181712 -30.3158222115317 -11.667891329505 -10.2173656007484 -8.81750252609486 -9.92989801006669 -11.0462206004458 -12.4267795834237 -17.1263903758372 -20.4265264831386 -3.03819091898852 -4.0747798144346 -10.8149283953857 -21.8071615237564 -19.6910586012366 -27.2943694410926 -0.547259010094751 
-33.2 3.17011647186655 -1.23198371249874 -8.61769930628008 -1.64390147955205 -1.91657796188661 -2.19526465912585 -13.5803769252543 -23.3001564528351 -33.1569804412148 -43.0372522787518 -56.2674610902249 -13.6390786481059 -20.6088782924041 -30.2158222113386 -11.7267418316075 -10.311503477277 -8.94692777704952 -10.0946106354474 -11.2462206002526 -12.3662767323013 -17.1011748991409 -20.3307362575902 -3.04127453409198 -4.04257605511159 -10.747437261637 -21.6525207961054 -19.5717052480117 -27.2103034622938 -0.596533227744802 
-33 3.15965545313747 -1.26713119200662 -8.58255182677221 -1.67262911423095 -1.98045307607339 -2.29428725282051 -13.5209668432858 -23.2055988913588 -33.0272754002306 -42.8723997582597 -56.0674610902249 -13.6093736069788 -20.5440257717691 -30.1158222111957 -11.7861519134331 -10.4060610386105 -9.07663281789087 -10.2594631557967 -11.4462206001097 -12.3057080252727 -17.0757536716202 -20.2350200710537 -3.04458094139305 -4.01073498290516 -10.6804487099223 -21.4973945277434 -19.4517264591576 -27.1254721529475 -0.644481190178243 
-32.8 3.14923623401057 -1.30213823101832 -8.5475447877605 -1.70176340558664 -2.04459440644078 -2.3934356221996 -13.4609949993326 -23.1106200083939 -32.897289478254 -42.7074067972714 -55.8674610902249 -13.5793876848965 -20.4790328106752 -30.01582221109 -11.8461237572805 -10.5010399214696 -9.20661873976174 -10.4244561166792 -11.646220600004 -12.2451088642529 -17.050161549612 -20.1394138710221 -3.04812311084626 -3.97927011334629 -10.6139768013521 -21.3418164838643 -19.3311554542902 -27.0399081870919 -0.691167479403285 
-32.6 3.13885870125239 -1.33700520998155 -8.51267780879727 -1.73128454115091 -2.10898252096828 -2.49269071569034 -13.4004629151856 -23.0152209452836 -32.7670234361805 -42.5422737762346 -55.667461090225 -13.5491216427447 -20.4138997895602 -29.9158222110118 -11.9066558413494 -10.5964389845017 -9.33688478175704 -10.5895891376378 -11.8462205999258 -12.1845121314471 -17.0244317957695 -20.0439501592531 -3.0519144926462 -3.94819451618338 -10.5480342252256 -21.1858206880265 -19.2100266374156 -26.9536463491805 -0.736659786058587 
-32.4 3.12852256419478 -1.37173310549838 -8.47794991328044 -1.76117473494807 -2.17360061028227 -2.59203670052115 -13.3393744972529 -22.9194046318341 -32.6364792272142 -42.3770016717515 -55.467461090225 -13.5185774337205 -20.3486276850191 -29.815822210954 -11.9677442592242 -10.6922552978933 -9.46742899066549 -10.754861242063 -12.0462205998679 -12.1239485202533 -16.9985960800926 -19.9486586525425 -3.05596897082431 -3.91752109884428 -10.4826329123701 -21.0294407634411 -19.0883746083471 -26.8667222156288 -0.78102708102247 
-32.2 3.11822743473431 -1.40632322153911 -8.44335979723971 -1.79141818746696 -2.23843417884189 -2.6914603851215 -13.2777349614159 -22.8231749799563 -32.5056594592957 -42.2115917877922 -55.267461090225 -13.4877576657592 -20.2832178010171 -29.7158222109111 -12.0293837950184 -10.7884849497283 -9.59824875854118 -10.9202711259795 -12.246220599825 -12.0634468004532 -16.9726844763332 -19.8535668167017 -3.06030081962668 -3.8872628316063 -10.417784529091 -20.8727093918061 -18.9662333527528 -26.7791710760752 -0.824338115126404 
-32 3.10797289277275 -1.44077696957178 -8.40890604920705 -1.82200105401854 -2.30347079342614 -2.79095074773842 -13.2155499535466 -22.7265362240544 -32.374566955361 -42.0460455358249 -55.067461090225 -13.4566651617928 -20.217671549018 -29.6158222108795 -12.091568802856 -10.8851237055986 -9.72934126244414 -11.0858173779151 -12.4462205997933 -12.0030340036112 -16.9467254275238 -19.758700271827 -3.06492463740057 -3.85743290134715 -10.3535008507995 -20.7156578390938 -18.8436355480731 -26.6910270194282 -0.866660220467039 
-31.8 3.09775854000122 -1.47509568785547 -8.37458733092336 -1.85291142155766 -2.36869987924894 -2.89049855184491 -13.1528248266813 -22.6294923789054 -32.2432043919284 -41.8803642541086 -54.8674610902251 -13.4253025983368 -20.1519902672783 -29.515822210856 -12.1542939296978 -10.982167550724 -9.8607038258533 -11.2514986596079 -12.6462205997698 -11.942735556061 -16.9207456982573 -19.6640831059931 -3.0698552756966 -3.82804482135987 -10.2897940525282 -20.5583155464181 -18.7206119736811 -26.6023221633199 -0.908058382714929 
-31.6 3.08758404447963 -1.50928049165994 -8.34040252711889 -1.88413929442442 -2.43411255592018 -2.99009603232061 -13.0895640418992 -22.5320467903189 -32.1115739995374 -41.7145490579132 -54.6674610902251 -13.3936722059284 -20.0861750710654 -29.4158222108387 -12.2175547144626 -11.0796131392933 -9.992334218227 -11.4173138557861 -12.8462205997525 -11.8825753571332 -16.894770303134 -19.5697381032608 -3.07510775345738 -3.79911249531579 -10.22667692268 -20.400709758921 -18.5971909899885 -26.5130859834318 -0.94859455053501 
-31.4 3.07744917799982 -1.54333214773086 -8.30635087104796 -1.91567658921625 -2.49970150678292 -3.08973663925428 -13.025770666183 -22.4342017585317 -31.9796773116793 -41.5486007139841 -54.4674610902251 -13.3617755180574 -20.0202267271236 -29.3158222108259 -12.2813480901661 -11.1774581710677 -10.1242309060723 -11.5832621997024 -13.0462205997397 -11.8225758096638 -16.8688224117355 -19.4756868997205 -3.08069715686356 -3.77065024265143 -10.1641630139444 -20.2428651796773 -18.4733980668157 -26.4233447163299 -0.988327147579358 
-31.2 3.06735384785497 -1.57725096754955 -8.27243205122928 -1.94751713894276 -2.56546087632813 -3.18941482861817 -12.9614459454577 -22.3359582179878 -31.8475149513167 -41.3825195338028 -54.2674610902252 -13.3296131576854 -19.9541455469328 -29.2158222108165 -12.3456728108818 -11.2757017116021 -10.2563932664255 -11.7493433798742 -13.2462205997302 -11.7627578098245 -16.8429232317149 -19.3819500800626 -3.08663852657892 -3.74267279254772 -10.1022667440223 -20.0848036393035 -18.3492553462606 -26.3331208155935 -1.02731075335105 
-31 3.05729812436493 -1.61103671485165 -8.23864630392717 -1.97965670677441 -2.63138619146187 -3.28912589105402 -12.8965889346662 -22.2373154598941 -31.7150864459209 -41.2163052811049 -54.0674610902252 -13.2971846522826 -19.887931294228 -29.1158222108095 -12.4105298216664 -11.3743444696888 -10.3888217718143 -11.9155576325651 -13.4462205997232 -11.7031406970568 -16.8170918662493 -19.2885472199927 -3.09294672895192 -3.715195247619 -10.0410034517911 -19.9265437684491 -18.2247812227083 -26.2424324393433 -1.06559592105104 
