distance	Zr_AE_s1	Zr_pp_s1	Zr_AE_s2	Zr_pp_s2	Zr_AE_p1	Zr_pp_p1	Zr_AE_p2	Zr_pp_p2	Zr_AE_d1	Zr_pp_d1	Zr_AE_d2	Zr_pp_d2
8.84E-06	3.28E-04	-1.90E-05	1.19E-04	-8.89E-06	9.43E-08	1.21E-10	4.38E-08	6.04E-11	1.38E-12	-5.01E-16	1.46E-12	-5.38E-16
9.13E-06	3.39E-04	-1.96E-05	1.23E-04	-9.19E-06	1.00E-07	1.29E-10	4.66E-08	6.45E-11	1.52E-12	-5.53E-16	1.60E-12	-5.93E-16
9.43E-06	3.49E-04	-2.02E-05	1.27E-04	-9.48E-06	1.06E-07	1.38E-10	4.95E-08	6.88E-11	1.66E-12	-6.09E-16	1.75E-12	-6.53E-16
9.73E-06	3.60E-04	-2.09E-05	1.31E-04	-9.78E-06	1.13E-07	1.47E-10	5.25E-08	7.32E-11	1.81E-12	-6.68E-16	1.91E-12	-7.17E-16
1.00E-05	3.71E-04	-2.15E-05	1.35E-04	-1.01E-05	1.19E-07	1.56E-10	5.55E-08	7.77E-11	1.98E-12	-7.32E-16	2.09E-12	-7.85E-16
1.03E-05	3.82E-04	-2.22E-05	1.39E-04	-1.04E-05	1.26E-07	1.65E-10	5.87E-08	8.25E-11	2.15E-12	-8.00E-16	2.27E-12	-8.58E-16
1.06E-05	3.93E-04	-2.28E-05	1.43E-04	-1.07E-05	1.33E-07	1.75E-10	6.19E-08	8.74E-11	2.33E-12	-8.72E-16	2.46E-12	-9.35E-16
1.09E-05	4.04E-04	-2.35E-05	1.47E-04	-1.10E-05	1.40E-07	1.85E-10	6.53E-08	9.24E-11	2.52E-12	-9.49E-16	2.66E-12	-1.02E-15
1.12E-05	4.15E-04	-2.41E-05	1.51E-04	-1.13E-05	1.48E-07	1.96E-10	6.87E-08	9.76E-11	2.72E-12	-1.03E-15	2.88E-12	-1.11E-15
1.15E-05	4.26E-04	-2.48E-05	1.55E-04	-1.16E-05	1.55E-07	2.07E-10	7.22E-08	1.03E-10	2.94E-12	-1.12E-15	3.10E-12	-1.20E-15
