distance	Zr_AE_s1	Zr_pp_s1	Zr_AE_s2	Zr_pp_s2	Zr_AE_p1	Zr_pp_p1	Zr_AE_p2	Zr_pp_p2	Zr_AE_d1	Zr_pp_d1	Zr_AE_d2	Zr_pp_d2
1.07E-03	3.16E-02	-2.29E-03	1.15E-02	-1.08E-03	4.36E-04	1.77E-06	2.03E-04	8.83E-07	5.89E-07	-8.86E-10	6.22E-07	-9.51E-10
1.07E-03	3.17E-02	-2.30E-03	1.15E-02	-1.08E-03	4.40E-04	1.79E-06	2.04E-04	8.91E-07	5.96E-07	-8.98E-10	6.29E-07	-9.64E-10
1.08E-03	3.18E-02	-2.31E-03	1.16E-02	-1.08E-03	4.43E-04	1.80E-06	2.06E-04	8.99E-07	6.03E-07	-9.10E-10	6.37E-07	-9.76E-10
1.08E-03	3.19E-02	-2.32E-03	1.16E-02	-1.09E-03	4.47E-04	1.82E-06	2.08E-04	9.07E-07	6.11E-07	-9.22E-10	6.45E-07	-9.89E-10
1.09E-03	3.21E-02	-2.33E-03	1.17E-02	-1.09E-03	4.50E-04	1.84E-06	2.09E-04	9.15E-07	6.18E-07	-9.34E-10	6.53E-07	-1.00E-09
1.09E-03	3.22E-02	-2.34E-03	1.17E-02	-1.10E-03	4.54E-04	1.85E-06	2.11E-04	9.23E-07	6.26E-07	-9.47E-10	6.61E-07	-1.02E-09
1.10E-03	3.23E-02	-2.35E-03	1.18E-02	-1.10E-03	4.57E-04	1.87E-06	2.13E-04	9.31E-07	6.33E-07	-9.59E-10	6.69E-07	-1.03E-09
1.10E-03	3.25E-02	-2.37E-03	1.18E-02	-1.11E-03	4.61E-04	1.88E-06	2.14E-04	9.40E-07	6.41E-07	-9.72E-10	6.77E-07	-1.04E-09
1.11E-03	3.26E-02	-2.38E-03	1.19E-02	-1.11E-03	4.65E-04	1.90E-06	2.16E-04	9.48E-07	6.49E-07	-9.85E-10	6.85E-07	-1.06E-09
1.11E-03	3.27E-02	-2.39E-03	1.19E-02	-1.12E-03	4.68E-04	1.92E-06	2.18E-04	9.56E-07	6.57E-07	-9.98E-10	6.94E-07	-1.07E-09
1.12E-03	3.28E-02	-2.40E-03	1.20E-02	-1.12E-03	4.72E-04	1.93E-06	2.19E-04	9.65E-07	6.65E-07	-1.01E-09	7.02E-07	-1.09E-09
1.12E-03	3.30E-02	-2.41E-03	1.20E-02	-1.13E-03	4.76E-04	1.95E-06	2.21E-04	9.73E-07	6.73E-07	-1.02E-09	7.11E-07	-1.10E-09
1.13E-03	3.31E-02	-2.42E-03	1.21E-02	-1.13E-03	4.79E-04	1.97E-06	2.23E-04	9.82E-07	6.81E-07	-1.04E-09	7.20E-07	-1.11E-09
1.13E-03	3.32E-02	-2.43E-03	1.21E-02	-1.14E-03	4.83E-04	1.99E-06	2.25E-04	9.90E-07	6.90E-07	-1.05E-09	7.28E-07	-1.13E-09
1.14E-03	3.34E-02	-2.44E-03	1.22E-02	-1.14E-03	4.87E-04	2.00E-06	2.26E-04	9.99E-07	6.98E-07	-1.07E-09	7.37E-07	-1.14E-09
1.14E-03	3.35E-02	-2.45E-03	1.22E-02	-1.15E-03	4.91E-04	2.02E-06	2.28E-04	1.01E-06	7.07E-07	-1.08E-09	7.46E-07	-1.16E-09
1.15E-03	3.36E-02	-2.46E-03	1.22E-02	-1.15E-03	4.95E-04	2.04E-06	2.30E-04	1.02E-06	7.15E-07	-1.09E-09	7.55E-07	-1.17E-09
1.15E-03	3.38E-02	-2.47E-03	1.23E-02	-1.16E-03	4.99E-04	2.06E-06	2.32E-04	1.03E-06	7.24E-07	-1.11E-09	7.65E-07	-1.19E-09
1.16E-03	3.39E-02	-2.48E-03	1.23E-02	-1.16E-03	5.03E-04	2.08E-06	2.34E-04	1.03E-06	7.33E-07	-1.12E-09	7.74E-07	-1.21E-09
1.16E-03	3.40E-02	-2.49E-03	1.24E-02	-1.17E-03	5.07E-04	2.09E-06	2.35E-04	1.04E-06	7.42E-07	-1.14E-09	7.84E-07	-1.22E-09
1.17E-03	3.42E-02	-2.50E-03	1.24E-02	-1.17E-03	5.11E-04	2.11E-06	2.37E-04	1.05E-06	7.51E-07	-1.15E-09	7.93E-07	-1.24E-09
1.17E-03	3.43E-02	-2.52E-03	1.25E-02	-1.18E-03	5.15E-04	2.13E-06	2.39E-04	1.06E-06	7.60E-07	-1.17E-09	8.03E-07	-1.25E-09
1.18E-03	3.45E-02	-2.53E-03	1.25E-02	-1.18E-03	5.19E-04	2.15E-06	2.41E-04	1.07E-06	7.69E-07	-1.18E-09	8.13E-07	-1.27E-09
1.18E-03	3.46E-02	-2.54E-03	1.26E-02	-1.19E-03	5.23E-04	2.17E-06	2.43E-04	1.08E-06	7.79E-07	-1.20E-09	8.23E-07	-1.29E-09
1.19E-03	3.47E-02	-2.55E-03	1.26E-02	-1.19E-03	5.27E-04	2.19E-06	2.45E-04	1.09E-06	7.88E-07	-1.22E-09	8.33E-07	-1.30E-09
1.19E-03	3.49E-02	-2.56E-03	1.27E-02	-1.20E-03	5.31E-04	2.21E-06	2.47E-04	1.10E-06	7.98E-07	-1.23E-09	8.43E-07	-1.32E-09
1.20E-03	3.50E-02	-2.57E-03	1.27E-02	-1.21E-03	5.35E-04	2.23E-06	2.49E-04	1.11E-06	8.08E-07	-1.25E-09	8.53E-07	-1.34E-09
1.20E-03	3.51E-02	-2.58E-03	1.28E-02	-1.21E-03	5.39E-04	2.25E-06	2.51E-04	1.12E-06	8.17E-07	-1.27E-09	8.64E-07	-1.36E-09
1.21E-03	3.53E-02	-2.59E-03	1.28E-02	-1.22E-03	5.44E-04	2.27E-06	2.53E-04	1.13E-06	8.27E-07	-1.28E-09	8.74E-07	-1.38E-09
1.21E-03	3.54E-02	-2.60E-03	1.29E-02	-1.22E-03	5.48E-04	2.29E-06	2.55E-04	1.14E-06	8.38E-07	-1.30E-09	8.85E-07	-1.39E-09
1.22E-03	3.56E-02	-2.62E-03	1.30E-02	-1.23E-03	5.52E-04	2.31E-06	2.57E-04	1.15E-06	8.48E-07	-1.32E-09	8.96E-07	-1.41E-09
1.22E-03	3.57E-02	-2.63E-03	1.30E-02	-1.23E-03	5.56E-04	2.33E-06	2.59E-04	1.16E-06	8.58E-07	-1.33E-09	9.07E-07	-1.43E-09
1.23E-03	3.58E-02	-2.64E-03	1.31E-02	-1.24E-03	5.61E-04	2.35E-06	2.61E-04	1.17E-06	8.69E-07	-1.35E-09	9.18E-07	-1.45E-09
1.24E-03	3.60E-02	-2.65E-03	1.31E-02	-1.24E-03	5.65E-04	2.37E-06	2.63E-04	1.18E-06	8.79E-07	-1.37E-09	9.29E-07	-1.47E-09
1.24E-03	3.61E-02	-2.66E-03	1.32E-02	-1.25E-03	5.70E-04	2.39E-06	2.65E-04	1.19E-06	8.90E-07	-1.39E-09	9.40E-07	-1.49E-09
1.25E-03	3.63E-02	-2.67E-03	1.32E-02	-1.25E-03	5.74E-04	2.41E-06	2.67E-04	1.20E-06	9.01E-07	-1.41E-09	9.52E-07	-1.51E-09
1.25E-03	3.64E-02	-2.69E-03	1.33E-02	-1.26E-03	5.79E-04	2.43E-06	2.69E-04	1.21E-06	9.12E-07	-1.42E-09	9.63E-07	-1.53E-09
1.26E-03	3.66E-02	-2.70E-03	1.33E-02	-1.26E-03	5.83E-04	2.45E-06	2.71E-04	1.22E-06	9.23E-07	-1.44E-09	9.75E-07	-1.55E-09
1.26E-03	3.67E-02	-2.71E-03	1.34E-02	-1.27E-03	5.88E-04	2.47E-06	2.73E-04	1.23E-06	9.34E-07	-1.46E-09	9.87E-07	-1.57E-09
1.27E-03	3.69E-02	-2.72E-03	1.34E-02	-1.28E-03	5.92E-04	2.50E-06	2.75E-04	1.24E-06	9.46E-07	-1.48E-09	9.99E-07	-1.59E-09
1.27E-03	3.70E-02	-2.73E-03	1.35E-02	-1.28E-03	5.97E-04	2.52E-06	2.78E-04	1.25E-06	9.57E-07	-1.50E-09	1.01E-06	-1.61E-09
1.28E-03	3.71E-02	-2.75E-03	1.35E-02	-1.29E-03	6.02E-04	2.54E-06	2.80E-04	1.27E-06	9.69E-07	-1.52E-09	1.02E-06	-1.63E-09
1.29E-03	3.73E-02	-2.76E-03	1.36E-02	-1.29E-03	6.07E-04	2.56E-06	2.82E-04	1.28E-06	9.81E-07	-1.54E-09	1.04E-06	-1.65E-09
1.29E-03	3.74E-02	-2.77E-03	1.36E-02	-1.30E-03	6.11E-04	2.58E-06	2.84E-04	1.29E-06	9.93E-07	-1.56E-09	1.05E-06	-1.67E-09
1.30E-03	3.76E-02	-2.78E-03	1.37E-02	-1.30E-03	6.16E-04	2.61E-06	2.86E-04	1.30E-06	1.00E-06	-1.58E-09	1.06E-06	-1.70E-09
1.30E-03	3.77E-02	-2.79E-03	1.37E-02	-1.31E-03	6.21E-04	2.63E-06	2.89E-04	1.31E-06	1.02E-06	-1.60E-09	1.07E-06	-1.72E-09
1.31E-03	3.79E-02	-2.81E-03	1.38E-02	-1.32E-03	6.26E-04	2.65E-06	2.91E-04	1.32E-06	1.03E-06	-1.62E-09	1.09E-06	-1.74E-09
1.31E-03	3.80E-02	-2.82E-03	1.39E-02	-1.32E-03	6.31E-04	2.68E-06	2.93E-04	1.33E-06	1.04E-06	-1.64E-09	1.10E-06	-1.76E-09
1.32E-03	3.82E-02	-2.83E-03	1.39E-02	-1.33E-03	6.36E-04	2.70E-06	2.95E-04	1.35E-06	1.05E-06	-1.67E-09	1.11E-06	-1.79E-09
1.33E-03	3.83E-02	-2.84E-03	1.40E-02	-1.33E-03	6.41E-04	2.72E-06	2.98E-04	1.36E-06	1.07E-06	-1.69E-09	1.13E-06	-1.81E-09
1.33E-03	3.85E-02	-2.86E-03	1.40E-02	-1.34E-03	6.46E-04	2.75E-06	3.00E-04	1.37E-06	1.08E-06	-1.71E-09	1.14E-06	-1.84E-09
1.34E-03	3.86E-02	-2.87E-03	1.41E-02	-1.34E-03	6.51E-04	2.77E-06	3.02E-04	1.38E-06	1.09E-06	-1.73E-09	1.16E-06	-1.86E-09
1.34E-03	3.88E-02	-2.88E-03	1.41E-02	-1.35E-03	6.56E-04	2.79E-06	3.05E-04	1.39E-06	1.11E-06	-1.76E-09	1.17E-06	-1.88E-09
1.35E-03	3.89E-02	-2.89E-03	1.42E-02	-1.36E-03	6.61E-04	2.82E-06	3.07E-04	1.41E-06	1.12E-06	-1.78E-09	1.18E-06	-1.91E-09
1.35E-03	3.91E-02	-2.91E-03	1.42E-02	-1.36E-03	6.66E-04	2.84E-06	3.10E-04	1.42E-06	1.13E-06	-1.80E-09	1.20E-06	-1.93E-09
1.36E-03	3.92E-02	-2.92E-03	1.43E-02	-1.37E-03	6.71E-04	2.87E-06	3.12E-04	1.43E-06	1.15E-06	-1.83E-09	1.21E-06	-1.96E-09
1.37E-03	3.94E-02	-2.93E-03	1.43E-02	-1.37E-03	6.77E-04	2.89E-06	3.15E-04	1.44E-06	1.16E-06	-1.85E-09	1.23E-06	-1.99E-09
1.37E-03	3.96E-02	-2.94E-03	1.44E-02	-1.38E-03	6.82E-04	2.92E-06	3.17E-04	1.46E-06	1.18E-06	-1.87E-09	1.24E-06	-2.01E-09
1.38E-03	3.97E-02	-2.96E-03	1.45E-02	-1.39E-03	6.87E-04	2.94E-06	3.19E-04	1.47E-06	1.19E-06	-1.90E-09	1.26E-06	-2.04E-09
1.38E-03	3.99E-02	-2.97E-03	1.45E-02	-1.39E-03	6.93E-04	2.97E-06	3.22E-04	1.48E-06	1.21E-06	-1.92E-09	1.27E-06	-2.06E-09
1.39E-03	4.00E-02	-2.98E-03	1.46E-02	-1.40E-03	6.98E-04	3.00E-06	3.25E-04	1.49E-06	1.22E-06	-1.95E-09	1.29E-06	-2.09E-09
1.40E-03	4.02E-02	-3.00E-03	1.46E-02	-1.40E-03	7.04E-04	3.02E-06	3.27E-04	1.51E-06	1.23E-06	-1.97E-09	1.30E-06	-2.12E-09
1.40E-03	4.03E-02	-3.01E-03	1.47E-02	-1.41E-03	7.09E-04	3.05E-06	3.30E-04	1.52E-06	1.25E-06	-2.00E-09	1.32E-06	-2.15E-09
1.41E-03	4.05E-02	-3.02E-03	1.47E-02	-1.42E-03	7.15E-04	3.08E-06	3.32E-04	1.53E-06	1.26E-06	-2.03E-09	1.34E-06	-2.18E-09
1.41E-03	4.07E-02	-3.03E-03	1.48E-02	-1.42E-03	7.20E-04	3.10E-06	3.35E-04	1.55E-06	1.28E-06	-2.05E-09	1.35E-06	-2.20E-09
1.42E-03	4.08E-02	-3.05E-03	1.49E-02	-1.43E-03	7.26E-04	3.13E-06	3.37E-04	1.56E-06	1.30E-06	-2.08E-09	1.37E-06	-2.23E-09
1.43E-03	4.10E-02	-3.06E-03	1.49E-02	-1.44E-03	7.32E-04	3.16E-06	3.40E-04	1.57E-06	1.31E-06	-2.11E-09	1.39E-06	-2.26E-09
1.43E-03	4.11E-02	-3.07E-03	1.50E-02	-1.44E-03	7.37E-04	3.18E-06	3.43E-04	1.59E-06	1.33E-06	-2.14E-09	1.40E-06	-2.29E-09
1.44E-03	4.13E-02	-3.09E-03	1.50E-02	-1.45E-03	7.43E-04	3.21E-06	3.45E-04	1.60E-06	1.34E-06	-2.16E-09	1.42E-06	-2.32E-09
1.45E-03	4.15E-02	-3.10E-03	1.51E-02	-1.45E-03	7.49E-04	3.24E-06	3.48E-04	1.62E-06	1.36E-06	-2.19E-09	1.44E-06	-2.35E-09
1.45E-03	4.16E-02	-3.12E-03	1.52E-02	-1.46E-03	7.55E-04	3.27E-06	3.51E-04	1.63E-06	1.38E-06	-2.22E-09	1.45E-06	-2.38E-09
1.46E-03	4.18E-02	-3.13E-03	1.52E-02	-1.47E-03	7.61E-04	3.30E-06	3.54E-04	1.64E-06	1.39E-06	-2.25E-09	1.47E-06	-2.41E-09
1.46E-03	4.19E-02	-3.14E-03	1.53E-02	-1.47E-03	7.67E-04	3.33E-06	3.56E-04	1.66E-06	1.41E-06	-2.28E-09	1.49E-06	-2.45E-09
1.47E-03	4.21E-02	-3.16E-03	1.53E-02	-1.48E-03	7.73E-04	3.36E-06	3.59E-04	1.67E-06	1.43E-06	-2.31E-09	1.51E-06	-2.48E-09
1.48E-03	4.23E-02	-3.17E-03	1.54E-02	-1.49E-03	7.79E-04	3.38E-06	3.62E-04	1.69E-06	1.45E-06	-2.34E-09	1.53E-06	-2.51E-09
1.48E-03	4.24E-02	-3.18E-03	1.55E-02	-1.49E-03	7.85E-04	3.41E-06	3.65E-04	1.70E-06	1.46E-06	-2.37E-09	1.55E-06	-2.54E-09
1.49E-03	4.26E-02	-3.20E-03	1.55E-02	-1.50E-03	7.91E-04	3.44E-06	3.68E-04	1.72E-06	1.48E-06	-2.40E-09	1.56E-06	-2.58E-09
1.50E-03	4.28E-02	-3.21E-03	1.56E-02	-1.51E-03	7.97E-04	3.47E-06	3.71E-04	1.73E-06	1.50E-06	-2.43E-09	1.58E-06	-2.61E-09
1.50E-03	4.29E-02	-3.23E-03	1.56E-02	-1.51E-03	8.03E-04	3.50E-06	3.73E-04	1.75E-06	1.52E-06	-2.46E-09	1.60E-06	-2.64E-09
1.51E-03	4.31E-02	-3.24E-03	1.57E-02	-1.52E-03	8.10E-04	3.53E-06	3.76E-04	1.76E-06	1.54E-06	-2.50E-09	1.62E-06	-2.68E-09
1.52E-03	4.33E-02	-3.25E-03	1.58E-02	-1.52E-03	8.16E-04	3.57E-06	3.79E-04	1.78E-06	1.55E-06	-2.53E-09	1.64E-06	-2.71E-09
1.52E-03	4.34E-02	-3.27E-03	1.58E-02	-1.53E-03	8.22E-04	3.60E-06	3.82E-04	1.79E-06	1.57E-06	-2.56E-09	1.66E-06	-2.75E-09
1.53E-03	4.36E-02	-3.28E-03	1.59E-02	-1.54E-03	8.29E-04	3.63E-06	3.85E-04	1.81E-06	1.59E-06	-2.60E-09	1.68E-06	-2.79E-09
1.54E-03	4.38E-02	-3.30E-03	1.59E-02	-1.54E-03	8.35E-04	3.66E-06	3.88E-04	1.82E-06	1.61E-06	-2.63E-09	1.70E-06	-2.82E-09
1.54E-03	4.39E-02	-3.31E-03	1.60E-02	-1.55E-03	8.42E-04	3.69E-06	3.91E-04	1.84E-06	1.63E-06	-2.66E-09	1.72E-06	-2.86E-09
1.55E-03	4.41E-02	-3.32E-03	1.61E-02	-1.56E-03	8.48E-04	3.72E-06	3.94E-04	1.86E-06	1.65E-06	-2.70E-09	1.74E-06	-2.90E-09
1.56E-03	4.43E-02	-3.34E-03	1.61E-02	-1.57E-03	8.55E-04	3.76E-06	3.97E-04	1.87E-06	1.67E-06	-2.74E-09	1.76E-06	-2.93E-09
1.56E-03	4.44E-02	-3.35E-03	1.62E-02	-1.57E-03	8.62E-04	3.79E-06	4.01E-04	1.89E-06	1.69E-06	-2.77E-09	1.79E-06	-2.97E-09
1.57E-03	4.46E-02	-3.37E-03	1.62E-02	-1.58E-03	8.68E-04	3.82E-06	4.04E-04	1.91E-06	1.71E-06	-2.81E-09	1.81E-06	-3.01E-09
1.58E-03	4.48E-02	-3.38E-03	1.63E-02	-1.59E-03	8.75E-04	3.85E-06	4.07E-04	1.92E-06	1.73E-06	-2.84E-09	1.83E-06	-3.05E-09
1.58E-03	4.50E-02	-3.40E-03	1.64E-02	-1.59E-03	8.82E-04	3.89E-06	4.10E-04	1.94E-06	1.75E-06	-2.88E-09	1.85E-06	-3.09E-09
1.59E-03	4.51E-02	-3.41E-03	1.64E-02	-1.60E-03	8.89E-04	3.92E-06	4.13E-04	1.96E-06	1.77E-06	-2.92E-09	1.87E-06	-3.13E-09
1.60E-03	4.53E-02	-3.43E-03	1.65E-02	-1.61E-03	8.96E-04	3.96E-06	4.16E-04	1.97E-06	1.80E-06	-2.96E-09	1.90E-06	-3.17E-09
1.60E-03	4.55E-02	-3.44E-03	1.66E-02	-1.61E-03	9.03E-04	3.99E-06	4.20E-04	1.99E-06	1.82E-06	-3.00E-09	1.92E-06	-3.21E-09
1.61E-03	4.57E-02	-3.46E-03	1.66E-02	-1.62E-03	9.10E-04	4.03E-06	4.23E-04	2.01E-06	1.84E-06	-3.03E-09	1.94E-06	-3.26E-09
1.62E-03	4.58E-02	-3.47E-03	1.67E-02	-1.63E-03	9.17E-04	4.06E-06	4.26E-04	2.02E-06	1.86E-06	-3.07E-09	1.97E-06	-3.30E-09
1.63E-03	4.60E-02	-3.49E-03	1.68E-02	-1.63E-03	9.24E-04	4.10E-06	4.30E-04	2.04E-06	1.89E-06	-3.11E-09	1.99E-06	-3.34E-09
1.63E-03	4.62E-02	-3.50E-03	1.68E-02	-1.64E-03	9.31E-04	4.13E-06	4.33E-04	2.06E-06	1.91E-06	-3.16E-09	2.02E-06	-3.39E-09
1.64E-03	4.64E-02	-3.52E-03	1.69E-02	-1.65E-03	9.39E-04	4.17E-06	4.36E-04	2.08E-06	1.93E-06	-3.20E-09	2.04E-06	-3.43E-09
1.65E-03	4.65E-02	-3.53E-03	1.70E-02	-1.66E-03	9.46E-04	4.20E-06	4.40E-04	2.10E-06	1.95E-06	-3.24E-09	2.07E-06	-3.47E-09
1.65E-03	4.67E-02	-3.55E-03	1.70E-02	-1.66E-03	9.53E-04	4.24E-06	4.43E-04	2.11E-06	1.98E-06	-3.28E-09	2.09E-06	-3.52E-09
1.66E-03	4.69E-02	-3.56E-03	1.71E-02	-1.67E-03	9.61E-04	4.28E-06	4.47E-04	2.13E-06	2.00E-06	-3.32E-09	2.12E-06	-3.57E-09
1.67E-03	4.71E-02	-3.58E-03	1.71E-02	-1.68E-03	9.68E-04	4.31E-06	4.50E-04	2.15E-06	2.03E-06	-3.37E-09	2.14E-06	-3.61E-09
1.68E-03	4.73E-02	-3.59E-03	1.72E-02	-1.68E-03	9.76E-04	4.35E-06	4.54E-04	2.17E-06	2.05E-06	-3.41E-09	2.17E-06	-3.66E-09
1.68E-03	4.74E-02	-3.61E-03	1.73E-02	-1.69E-03	9.84E-04	4.39E-06	4.57E-04	2.19E-06	2.08E-06	-3.45E-09	2.19E-06	-3.71E-09
1.69E-03	4.76E-02	-3.62E-03	1.73E-02	-1.70E-03	9.91E-04	4.43E-06	4.61E-04	2.21E-06	2.10E-06	-3.50E-09	2.22E-06	-3.76E-09
1.70E-03	4.78E-02	-3.64E-03	1.74E-02	-1.71E-03	9.99E-04	4.47E-06	4.64E-04	2.23E-06	2.13E-06	-3.55E-09	2.25E-06	-3.80E-09
1.70E-03	4.80E-02	-3.66E-03	1.75E-02	-1.71E-03	1.01E-03	4.50E-06	4.68E-04	2.25E-06	2.15E-06	-3.59E-09	2.27E-06	-3.85E-09
1.71E-03	4.82E-02	-3.67E-03	1.75E-02	-1.72E-03	1.01E-03	4.54E-06	4.72E-04	2.26E-06	2.18E-06	-3.64E-09	2.30E-06	-3.90E-09
1.72E-03	4.84E-02	-3.69E-03	1.76E-02	-1.73E-03	1.02E-03	4.58E-06	4.75E-04	2.28E-06	2.21E-06	-3.69E-09	2.33E-06	-3.95E-09
1.73E-03	4.85E-02	-3.70E-03	1.77E-02	-1.74E-03	1.03E-03	4.62E-06	4.79E-04	2.30E-06	2.23E-06	-3.73E-09	2.36E-06	-4.01E-09
1.73E-03	4.87E-02	-3.72E-03	1.77E-02	-1.74E-03	1.04E-03	4.66E-06	4.83E-04	2.32E-06	2.26E-06	-3.78E-09	2.39E-06	-4.06E-09
1.74E-03	4.89E-02	-3.74E-03	1.78E-02	-1.75E-03	1.05E-03	4.70E-06	4.87E-04	2.34E-06	2.29E-06	-3.83E-09	2.42E-06	-4.11E-09
1.75E-03	4.91E-02	-3.75E-03	1.79E-02	-1.76E-03	1.05E-03	4.74E-06	4.90E-04	2.36E-06	2.32E-06	-3.88E-09	2.45E-06	-4.17E-09
1.76E-03	4.93E-02	-3.77E-03	1.80E-02	-1.77E-03	1.06E-03	4.78E-06	4.94E-04	2.39E-06	2.34E-06	-3.93E-09	2.48E-06	-4.22E-09
1.76E-03	4.95E-02	-3.78E-03	1.80E-02	-1.77E-03	1.07E-03	4.83E-06	4.98E-04	2.41E-06	2.37E-06	-3.98E-09	2.51E-06	-4.27E-09
1.77E-03	4.97E-02	-3.80E-03	1.81E-02	-1.78E-03	1.08E-03	4.87E-06	5.02E-04	2.43E-06	2.40E-06	-4.04E-09	2.54E-06	-4.33E-09
1.78E-03	4.99E-02	-3.82E-03	1.82E-02	-1.79E-03	1.09E-03	4.91E-06	5.06E-04	2.45E-06	2.43E-06	-4.09E-09	2.57E-06	-4.39E-09
1.79E-03	5.01E-02	-3.83E-03	1.82E-02	-1.80E-03	1.10E-03	4.95E-06	5.10E-04	2.47E-06	2.46E-06	-4.14E-09	2.60E-06	-4.44E-09
1.79E-03	5.02E-02	-3.85E-03	1.83E-02	-1.81E-03	1.11E-03	5.00E-06	5.14E-04	2.49E-06	2.49E-06	-4.20E-09	2.63E-06	-4.50E-09
1.80E-03	5.04E-02	-3.87E-03	1.84E-02	-1.81E-03	1.11E-03	5.04E-06	5.18E-04	2.51E-06	2.52E-06	-4.25E-09	2.66E-06	-4.56E-09
1.81E-03	5.06E-02	-3.88E-03	1.84E-02	-1.82E-03	1.12E-03	5.08E-06	5.22E-04	2.53E-06	2.55E-06	-4.31E-09	2.69E-06	-4.62E-09
1.82E-03	5.08E-02	-3.90E-03	1.85E-02	-1.83E-03	1.13E-03	5.13E-06	5.26E-04	2.56E-06	2.58E-06	-4.36E-09	2.73E-06	-4.68E-09
1.83E-03	5.10E-02	-3.92E-03	1.86E-02	-1.84E-03	1.14E-03	5.17E-06	5.30E-04	2.58E-06	2.61E-06	-4.42E-09	2.76E-06	-4.74E-09
1.83E-03	5.12E-02	-3.93E-03	1.86E-02	-1.84E-03	1.15E-03	5.22E-06	5.34E-04	2.60E-06	2.64E-06	-4.48E-09	2.79E-06	-4.80E-09
1.84E-03	5.14E-02	-3.95E-03	1.87E-02	-1.85E-03	1.16E-03	5.26E-06	5.38E-04	2.62E-06	2.68E-06	-4.53E-09	2.83E-06	-4.86E-09
1.85E-03	5.16E-02	-3.97E-03	1.88E-02	-1.86E-03	1.17E-03	5.31E-06	5.42E-04	2.65E-06	2.71E-06	-4.59E-09	2.86E-06	-4.93E-09
1.86E-03	5.18E-02	-3.99E-03	1.89E-02	-1.87E-03	1.18E-03	5.35E-06	5.47E-04	2.67E-06	2.74E-06	-4.65E-09	2.90E-06	-4.99E-09
1.87E-03	5.20E-02	-4.00E-03	1.89E-02	-1.88E-03	1.19E-03	5.40E-06	5.51E-04	2.69E-06	2.77E-06	-4.71E-09	2.93E-06	-5.06E-09
1.87E-03	5.22E-02	-4.02E-03	1.90E-02	-1.88E-03	1.19E-03	5.44E-06	5.55E-04	2.71E-06	2.81E-06	-4.77E-09	2.97E-06	-5.12E-09
1.88E-03	5.24E-02	-4.04E-03	1.91E-02	-1.89E-03	1.20E-03	5.49E-06	5.60E-04	2.74E-06	2.84E-06	-4.84E-09	3.00E-06	-5.19E-09
1.89E-03	5.26E-02	-4.05E-03	1.91E-02	-1.90E-03	1.21E-03	5.54E-06	5.64E-04	2.76E-06	2.88E-06	-4.90E-09	3.04E-06	-5.26E-09
1.90E-03	5.28E-02	-4.07E-03	1.92E-02	-1.91E-03	1.22E-03	5.59E-06	5.68E-04	2.79E-06	2.91E-06	-4.96E-09	3.08E-06	-5.32E-09
1.91E-03	5.30E-02	-4.09E-03	1.93E-02	-1.92E-03	1.23E-03	5.64E-06	5.73E-04	2.81E-06	2.95E-06	-5.03E-09	3.11E-06	-5.39E-09
1.91E-03	5.32E-02	-4.11E-03	1.94E-02	-1.93E-03	1.24E-03	5.68E-06	5.77E-04	2.83E-06	2.98E-06	-5.09E-09	3.15E-06	-5.46E-09
1.92E-03	5.34E-02	-4.13E-03	1.94E-02	-1.93E-03	1.25E-03	5.73E-06	5.82E-04	2.86E-06	3.02E-06	-5.16E-09	3.19E-06	-5.53E-09
1.93E-03	5.36E-02	-4.14E-03	1.95E-02	-1.94E-03	1.26E-03	5.78E-06	5.86E-04	2.88E-06	3.06E-06	-5.23E-09	3.23E-06	-5.61E-09
1.94E-03	5.38E-02	-4.16E-03	1.96E-02	-1.95E-03	1.27E-03	5.83E-06	5.91E-04	2.91E-06	3.09E-06	-5.29E-09	3.27E-06	-5.68E-09
1.95E-03	5.40E-02	-4.18E-03	1.97E-02	-1.96E-03	1.28E-03	5.88E-06	5.95E-04	2.93E-06	3.13E-06	-5.36E-09	3.31E-06	-5.75E-09
1.96E-03	5.42E-02	-4.20E-03	1.97E-02	-1.97E-03	1.29E-03	5.93E-06	6.00E-04	2.96E-06	3.17E-06	-5.43E-09	3.35E-06	-5.83E-09
1.96E-03	5.44E-02	-4.21E-03	1.98E-02	-1.98E-03	1.30E-03	5.99E-06	6.05E-04	2.98E-06	3.21E-06	-5.50E-09	3.39E-06	-5.90E-09
1.97E-03	5.46E-02	-4.23E-03	1.99E-02	-1.98E-03	1.31E-03	6.04E-06	6.09E-04	3.01E-06	3.25E-06	-5.57E-09	3.43E-06	-5.98E-09
1.98E-03	5.48E-02	-4.25E-03	2.00E-02	-1.99E-03	1.32E-03	6.09E-06	6.14E-04	3.04E-06	3.28E-06	-5.65E-09	3.47E-06	-6.06E-09
1.99E-03	5.50E-02	-4.27E-03	2.00E-02	-2.00E-03	1.33E-03	6.14E-06	6.19E-04	3.06E-06	3.32E-06	-5.72E-09	3.51E-06	-6.14E-09
2.00E-03	5.52E-02	-4.29E-03	2.01E-02	-2.01E-03	1.34E-03	6.19E-06	6.24E-04	3.09E-06	3.36E-06	-5.79E-09	3.55E-06	-6.22E-09
2.01E-03	5.54E-02	-4.31E-03	2.02E-02	-2.02E-03	1.35E-03	6.25E-06	6.29E-04	3.11E-06	3.41E-06	-5.87E-09	3.60E-06	-6.30E-09
