pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Ii{0} Ii{-1} Ii{1} IsubO{1} IsubO{2} IsubO{3} IsubZr{-3} IsubZr{-4} IsubZr{-5} Stoich
-35 2.46985466005281 -5.71307118877783 -16.866730338117 -27.6381049813525 -27.9390637171844 -32.0614902775768 -8.56585437628599 -22.7158921107198 -37.710361630217 -56.4056544257259 -81.0568776233342 -18.7941041922945 -23.6921111721039 -29.0351668594415 -66.5630175540711 -63.3005476526022 -66.2245198769429 -71.7560710770369 -78.8251399346538 -20.9462571578313 -17.4120943447024 -19.525074439977 -5.09763017366553 -17.5302538098575 -26.1041102228823 -5.69610076909475 -15.8503569975971 -18.2933616375596 -4.62471937497631 
-34.8 2.46080610385397 -5.78322922062723 -16.7965723062676 -27.5977889018753 -27.9689056695566 -32.1614902617983 -8.64648653504019 -22.7263662376246 -37.6506777252724 -56.2758124889319 -80.8568776546908 -18.8344202559933 -23.6622692039532 -28.9351668594415 -66.4823854266744 -63.290073557055 -66.284203813245 -71.8859130451884 -79.0251399346548 -20.9203844348611 -17.4563796535816 -19.4290436851575 -5.10159940306712 -17.4640650074097 -25.967763388586 -5.68070217302939 -15.9051164333812 -18.418279105193 -4.6492356838023 
-34.6 2.45165712980088 -5.85416584287965 -16.7256356840152 -27.5559156438076 -27.9979690337413 -32.2614902482355 -8.73023305100072 -22.7391761313327 -37.5925509967281 -56.1467491381352 -80.6568776816416 -18.8762935004981 -23.6332058262056 -28.8351668594414 -66.3986389376657 -63.2772636902987 -66.3423305687412 -72.014976422937 -79.2251399346557 -20.8947621944547 -17.5016940354276 -19.3324848224987 -5.10504052684588 -17.3965695089361 -25.829331267859 -5.66788982633111 -15.9632407089353 -18.5473400029996 -4.67147405337465 
-34.4 2.44242417993955 -5.92575357203785 -16.654047954857 -27.5127401738775 -28.0263812929695 -32.3614902366218 -8.81658399071912 -22.7539393418929 -37.5357264781301 -56.018336890379 -80.4568777047272 -18.9194689588144 -23.6047935553637 -28.7351668594414 -66.3122880210322 -63.2625005028233 -66.399155110424 -72.143388693778 -79.425139934655 -20.8693183419996 -17.5478379121308 -19.2354532408854 -5.10800893361849 -17.3279501865514 -25.6891242163161 -5.65720918443624 -16.0241477961987 -18.6798348194211 -4.69146932281915 
-34.2 2.43312088046805 -5.99788675729788 -16.5819147695969 -27.4684737934384 -28.0542480977904 -32.4614902267028 -8.9051167514722 -22.770338917386 -37.4799928683631 -55.890470095352 -80.2568777244402 -18.9637353293344 -23.5769267406237 -28.6351668594413 -66.2237552799912 -63.2461009470424 -66.4548887399032 -72.2712555085172 -79.6251399346542 -20.8440029658411 -17.5946557212323 -19.1380046794668 -5.11056036228134 -17.2583684299533 -25.547409274458 -5.64829338377076 -16.0873651807932 -18.8151853892757 -4.70930498473277 
-34 2.42375858956366 -6.07047733296768 -16.5093241939271 -27.4232926336516 -28.0816575136734 -32.5614902182555 -8.99547907094449 -22.7881106611885 -37.4251740364958 -55.7630606878149 -80.0568777412333 -19.0089164806744 -23.5495173162939 -28.5351668594417 -66.1333929773131 -63.228329220034 -66.5097075885645 -72.3986649328484 -79.8251399346551 -20.8187781700931 -17.642021501154 -19.040189308049 -5.11274498241628 -17.1879624744184 -25.4044127432534 -5.64084033182522 -16.1525027045175 -18.9529134886698 -4.725098057017 
-33.8 2.41434678013902 -6.14345185076526 -16.4363496761296 -27.377343590874 -28.1086829886933 -32.6614902110731 -9.08737715641212 -22.8070342288585 -37.3711230863683 -55.6360352198898 -79.8568777555106 -19.0548655162695 -23.5224918340914 -28.4351668594417 -66.0414949061219 -63.2094056666405 -66.5637585529686 -72.52569041505 -80.0251399346544 -20.7936189989282 -17.6898368477867 -18.9420556190865 -5.1146112862709 -17.1168542604764 -25.2603300115137 -5.63460472833039 -16.2192416188202 -19.0926269207701 -4.73899181464864 
-33.6 2.40489338685293 -6.2167487892687 -16.3630527376261 -27.3307497077755 -28.1353860440982 -32.7614902049814 -9.18056492254614 -22.8269250564891 -37.3177169754955 -55.5093321705135 -79.6568777676308 -19.1014593932764 -23.4957887725948 -28.3351668594416 -65.9483071521074 -63.1895148511294 -66.6171646759609 -72.6523934765458 -80.2251399346536 -20.7685051179686 -17.7380199053305 -18.8436447996235 -5.11620046071663 -17.0451464964178 -25.1153253089517 -5.62938167500133 -16.2873155039946 -19.2339977444479 -4.7511417514389 
-33.4 2.39540504949982 -6.29031666679405 -16.2894848601008 -27.2836139475617 -28.1618181614098 -32.8614901998183 -9.27483644291785 -22.8476286993355 -37.2648527408165 -55.3829000583091 -79.4568777779012 -19.148595148327 -23.4693566501201 -28.2351668594416 -65.854035642007 -63.1688112185543 -66.6700289209112 -72.7788255990214 -80.4251399346546 -20.7434245114454 -17.7865071763328 -18.744996315575 -5.11755197150461 -16.9729301296804 -24.9695410646899 -5.62500471132457 -16.3565064178432 -19.3767565358219 -4.76171213428371 
-33.2 2.38588734234218 -6.36411226326563 -16.2156892636292 -27.2360227502461 -28.1880225605658 -32.961490195446 -9.37001883749701 -22.869015497443 -37.2124439424525 -55.2566956634736 -79.256877786594 -19.1961863412701 -23.4431522465917 -28.1351668594415 -65.7588532561216 -63.1474244291405 -66.722437727969 -72.9050300025508 -80.6251399346555 -20.7183679364598 -17.8352461978187 -18.6461441441178 -5.11869979567547 -16.9002823573797 -24.8230976959167 -5.62133493444651 -16.4266322374367 -19.520677951887 -4.77086622395068 
