pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Csi{0} Csi{-1} Csi{1} CssubZr{-5} CssubZr{-4} CssubZr{-3} CssubO{1} CssubO{2} CssubO{3} Stoich
-35 3.26629189807193 -0.908848470199635 -8.94083454857919 -1.41052816511539 -1.36006940515085 -1.31562086009098 -14.0878365009796 -24.1307512708596 -34.3107105015384 -44.5141175813744 -58.0674616351467 -13.8928081712979 -21.1857430578953 -31.1158222191289 -11.2192828085935 -9.48090921196391 -7.79319826943735 -8.61774588553616 -9.44622060804224 -17.0588839177192 -20.2794016778722 -15.1721564660065 -16.1043364548724 -11.2214114010903 -5.90145294389285 -8.75174310172204 -3.00084467592564 -6.16332757719921 -0.101777973879813 
-34.8 3.25557820170116 -0.944844909303482 -8.90483810947534 -1.43452989723819 -1.42006757637749 -1.41161547042147 -14.0318224239378 -24.0387407547139 -34.1827035462888 -44.350114187021 -57.8674618016894 -13.8648010473063 -21.1217394947999 -31.0158222169296 -11.2752970499796 -9.57291989245381 -7.9212053890311 -8.78174944423375 -9.64622060584368 -17.0350747049611 -20.2915889042179 -15.1123508141445 -16.0605096063756 -11.1415881134896 -5.78563321718831 -8.78793206238985 -3.00103719748961 -6.12752365965971 -0.162901694136099 
-34.6 3.2448747324147 -0.980806986912929 -8.8688760318659 -1.45922831793517 -1.48072807468392 -1.50823804633735 -13.9756709534149 -23.9466272065815 -34.054627920547 -44.1860764836698 -57.6674620207288 -13.8367252009109 -21.057701570795 -30.9158222153153 -11.3314487379267 -9.66503365801037 -8.0492812321971 -8.94578736500921 -9.84622060422859 -17.0106236770718 -20.303099953938 -15.0519377086457 -16.0158691871871 -11.0609856166917 -5.66906864278094 -8.82414153442125 -3.00128459191156 -6.09180897647183 -0.222646628996318 
-34.4 3.23419128420744 -1.0167017966502 -8.83298122212862 -1.48458252718745 -1.54197709367347 -1.60538187506417 -13.9192504810396 -23.854311924469 -33.9264178286972 -44.0219715820827 -57.4674623094044 -13.8085148191985 -20.9935963793453 -30.8158222141283 -11.3878694977914 -9.75734922761232 -8.17749161153632 -9.10989255408569 -10.0462206030423 -16.9855891604376 -20.3139602470411 -14.9910083822743 -15.9703090091019 -10.9795306288692 -5.55171884522125 -8.86035603796365 -3.00160428571669 -6.05623386054008 -0.28094676587873 
-34.2 3.22353518533828 -1.05250471664659 -8.79717830213223 -1.51055357921628 -1.60375106569869 -1.70295876708578 -13.8624625421943 -23.7617210656273 -33.7980240498592 -43.8577748832483 -57.2674626905736 -13.7801206583173 -20.9293992984677 -30.7158222132543 -11.444657816931 -9.84994046674834 -8.30588577066873 -9.2740896332145 -10.2462206021675 -16.9600333467172 -20.3242073533171 -14.9296496485575 -15.9237681774066 -10.8971868771776 -5.43357217353317 -8.89657419714247 -3.00201952489911 -6.02084617972572 -0.337766108898083 
-34 3.21291172235794 -1.08819798487163 -8.7614850339072 -1.53710424555705 -1.6659950002645 -1.80089596987663 -13.8052361192175 -23.6688013744254 -33.6694110904322 -43.6934686555963 -57.0674631946966 -13.7515071941231 -20.8650925660485 -30.61582221261 -11.5018847433873 -9.94286066142969 -8.43449923357512 -9.43839636434593 -10.446220601524 -16.9340245043248 -20.3338917791497 -14.86794753794 -15.8762261809067 -10.8139516124526 -5.31464364058314 -8.93280928996014 -3.00256134949175 -5.9856947360937 -0.393094482538277 
-33.8 3.20232447800242 -1.123769563861 -8.72591345491783 -1.56419864134134 -1.72866097503816 -1.89913352363965 -13.7475231028259 -23.5755167790445 -33.5405549160619 -43.5290409022366 -56.8674638623475 -13.7226503516263 -20.8006641445623 -30.5158222121345 -11.5595984269545 -10.0361459239862 -8.56335607512101 -9.60282478488119 -10.6462206010486 -16.9076399800172 -20.3430788338315 -14.8059914346431 -15.8277002196722 -10.7298540722287 -5.19497452136994 -8.96909074090136 -3.00327122144398 -5.95083302905619 -0.446943617240332 
-33.6 3.19177558338663 -1.15921229338302 -8.6904707253958 -1.59180168504235 -1.79170674826119 -1.99762202638471 -13.6892949060314 -23.4818458527279 -33.4114412602233 -43.364484516876 -56.6674647474649 -13.6935358103194 -20.7361068737334 -30.4158222117835 -11.6178275085154 -10.1298177350692 -8.69247061572599 -9.76738205500818 -10.8462206006977 -16.8809702307412 -20.3518518140775 -14.7438789558451 -15.7782450034747 -10.6449561265092 -5.07463384612836 -9.00546676519975 -3.00420451621958 -5.91632359431015 -0.499343590799373 
-33.4 3.18126588387884 -1.19452333312502 -8.65515968565381 -1.61987834340107 -1.85509444636191 -2.09632076422742 -13.6305402390784 -23.387780146033 -33.2820645137864 -43.1997967306971 -56.467465921544 -13.6641578895441 -20.6714179132161 -30.3158222115243 -11.6765833492881 -10.2238846155839 -8.82184853598272 -9.93207101500692 -11.0462206004384 -16.8541241728367 -20.360316795915 -14.6817218581985 -15.7279553186185 -10.559355401911 -4.95372208178816 -9.0420084056548 -3.0054351169334 -5.88224315528159 -0.550339702307261 
-33.2 3.17079501550404 -1.2297039059893 -8.61997911278952 -1.64839259273458 -1.9187892685597 -2.1951961592895 -13.571264087896 -23.2933234219863 -33.1524272168754 -43.0349788609218 -56.2674674789044 -13.6345190350811 -20.6065984858888 -30.2158222113327 -11.7358610576394 -10.3183428967995 -8.95148739006255 -10.096890441951 -11.2462206002468 -16.8272362107886 -20.3686094067312 -14.6196533232862 -15.6769717784439 -10.4731912888721 -4.83237739588497 -9.07881526599647 -3.00706140441003 -5.84868886989432 -0.599989861864698 
